place#player#country#score#to par#money
1#corey pavin#united states#72 + 69 + 71 + 68 = 280#e#350000
2#greg norman#australia#68 + 67 + 74 + 73 = 282#+ 2#207000
3#tom lehman#united states#70 + 72 + 67 + 74 = 283#+ 3#131974
t4#bill glasson#united states#69 + 70 + 76 + 69 = 284#+ 4#66633
t4#jay haas#united states#70 + 73 + 72 + 69 = 284#+ 4#66633
t4#neal lancaster#united states#70 + 72 + 77 + 65 = 284#+ 4#66633
t4#davis love iii#united states#72 + 68 + 73 + 71 = 284#+ 4#66633
t4#jeff maggert#united states#69 + 72 + 77 + 66 = 284#+ 4#66633
t4#phil mickelson#united states#68 + 70 + 72 + 74 = 284#+ 4#66633
t10#frank nobilo#new zealand#72 + 72 + 70 + 71 = 285#+ 5#44184
t10#vijay singh#fiji#70 + 71 + 72 + 72 = 285#+ 5#44184
t10#bob tway#united states#69 + 69 + 72 + 75 = 285#+ 5#44184
