rider#manufacturer#laps#time / retired#grid
tomoyoshi koyama#ktm#22#41:06.339#7
gábor talmácsi#aprilia#22#+ 0.049#1
randy krummenacher#ktm#22#+ 0.131#15
sergio gadea#aprilia#22#+ 0.500#3
pol espargaró#aprilia#22#+ 2.081#18
bradley smith#honda#22#+ 4.792#4
simone corsi#aprilia#22#+ 16.840#9
joan olivé#aprilia#22#+ 16.910#14
stefan bradl#aprilia#22#+ 16.919#13
michael ranseder#derbi#22#+ 16.922#17
sandro cortese#aprilia#22#+ 17.112#11
esteve rabat#honda#22#+ 17.255#12
lukáš pešek#derbi#22#+ 17.263#5
lorenzo zanetti#aprilia#22#+ 23.707#21
dominique aegerter#aprilia#22#+ 28.366#27
alexis masbou#honda#22#+ 28.637#22
andrea iannone#aprilia#22#+ 28.658#10
pere tutusaus#aprilia#22#+ 29.026#25
mike di meglio#honda#22#+ 29.619#16
pablo nieto#aprilia#22#+ 31.800#20
federico sandi#aprilia#22#+ 46.773#26
roberto tamburini#aprilia#22#+ 47.361#29
nicolás terol#derbi#22#+ 53.881#19
robert muresan#derbi#22#+ 54.045#23
hugo van den berg#aprilia#22#+ 54.103#24
danny webb#honda#22#+ 1:20.170#34
ivan maestro#honda#22#+ 1:36.934#33
héctor faubel#aprilia#18#retirement#2
philipp eitzinger#honda#12#retirement#30
simone grotzkyj#aprilia#11#retirement#28
mattia pasini#aprilia#2#retirement#8
raffaele de rosa#aprilia#2#retirement#6
stevie bonsey#ktm#1#retirement#32
joey litjens#honda#0#retirement#31
