place#player#country#score#to par
1#tiger woods#united states#71 + 63 + 69 = 203#- 7
2#stephen ames#canada#68 + 69 + 69 = 206#- 4
3#woody austin#united states#68 + 70 + 69 = 207#- 3
4#john senden#australia#69 + 70 + 69 = 208#- 2
5#ernie els#south africa#72 + 68 + 69 = 209#- 1
t6#kj choi#south korea#71 + 71 + 68 = 210#e
t6#nathan green#australia#75 + 68 + 67 = 210#e
t6#arron oberholser#united states#68 + 72 + 70 = 210#e
t6#adam scott#australia#72 + 68 + 70 = 210#e
t6#kevin sutherland#united states#73 + 69 + 68 = 210#e
t6#scott verplank#united states#70 + 66 + 74 = 210#e
t6#boo weekley#united states#76 + 69 + 65 = 210#e
