position#name v t e#height (cm)#weight (kg)#birthplace#1999 - 2000 team
g#robert esche#184#85#utica , new york#springfield falcons
g#karl goehring#171#68#apple valley , minnesota#university of north dakota
g#damian rhodes#184#82#saint paul , minnesota#atlanta thrashers
d#ben clymer#187#88#bloomington , minnesota#tampa bay lightning
d#hal gill#202#109#concord , massachusetts#boston bruins
d#phil housley#179#84#saint paul , minnesota#calgary flames
d#chris luongo#179#93#farmington hills , michigan#munich barons
d#mike mottau#164#90#quincy , massachusetts#boston college
d#chris o 'sullivan#189#93#dorchester , massachusetts#syracuse crunch
d#eric weinrich#187#87#roanoke , virginia#montreal canadiens
lw#jason blake#179#82#moorhead , minnesota#los angeles kings
lw#sean haggerty#187#85#rye , new york#kansas city blades
lw#darby hendrickson#187#88#richfield , minnesota#vancouver canucks
lw#steve konowalchuk#189#94#salt lake city , utah#washington capitals
lw#mike peluso#187#88#bismark , north dakota#portland pirates
c#eric boguniecki#174#87#new haven , connecticut#louisville panthers
c#jeff halpern#184#88#potomac , maryland#washington capitals
c#david legwand#189#84#detroit , michigan#nashville predators
c#derek plante#182#83#cloquet , minnesota#chicago blackhawks
rw#brian gionta#171#75#rochester , new york#boston college
rw#steve heinze#182#92#lawrence , massachusetts#boston bruins
rw#jeff nielsen#184#88#grand rapids , michigan#mighty ducks of anaheim
rw#chris tancill#179#84#livonia , michigan#ev zug
