res#record#opponent#method#event#round#time#location
win#14 - 7#vinny magalhães#ko (punches)#ufc 163#1#0:14#rio de janeiro , brazil
loss#13 - 7#ryan jimmo#ko (punch)#ufc 149#1#0:07#calgary , alberta , canada
win#13 - 6#nick penner#tko (punches)#ufc on fx : alves vs kampmann#1#4:59#sydney , australia
win#12 - 6#cyrille diabaté#submission (rear naked choke)#ufc 138#2#3:09#birmingham , england
win#11 - 6#tom blackledge#submission (rear naked choke)#ufc 127#1#2:45#sydney , australia
loss#10 - 6#mirko filipović#tko (doctor 's stoppage)#ufc 110#2#5:00#sydney , australia
win#10 - 5#kym robinson#tko (punches)#rize 3: ascension#1#n / a#brisbane , australia
loss#9 - 5#james te - huna#ko (punches)#cfc 10: light heavyweight grand prix finals#1#2:21#sydney , australia
win#9 - 4#david frendin#submission (knees)#cfc 9: fighters paradise#1#2:45#carrara , australia
win#8 - 4#nate carey#tko (punches)#cfc 8: light heavyweight grand prix#1#4:16#sydney , australia
win#7 - 4#bryan harper#submission (rear naked choke)#cfc 6: eliminator#2#4:04#sydney , australia
loss#6 - 4#moise rimbon#ko (flying knee)#cage fighting championships 3#1#4:11#sydney , australia
win#6 - 3#carlo lattore#tko (punches)#cage fighting championships 2#1#4:31#sydney , australia
loss#5 - 3#christian wellisch#decision (unanimous)#ufc 66#3#5:00#las vegas , nevada , united states
loss#5 - 2#jeff monson#tko (punches)#ufc 61#1#2:42#las vegas , nevada , united states
win#5 - 1#ross dallow#submission (rear naked choke)#warriors realm 5#1#2:25#australia
win#4 - 1#matt foki#submission (arm triangle choke)#spartan reality fight 10#1#3:43#gold coast , australia
loss#3 - 1#sam nest#decision (unanimous)#shooto australia : nhb#3#5:00#melbourne , australia
win#3 - 0#david frendin#submission (choke)#spartan reality fight 8#1#2:26#gold coast , australia
win#2 - 0#mal foki#submission (punches)#spartan reality fight 8#1#3:31#gold coast , australia
win#1 - 0#api hemara#submission (rear naked choke)#spartan reality fight 8#1#1:13#gold coast , australia
