res#record#opponent#method#event#round#time#location
loss#32 - 11#glover teixeira#decision (unanimous)#ufc on fox 6#3#5:00#chicago , illinois , united states
loss#32 - 10#ryan bader#decision (unanimous)#ufc 144#3#5:00#saitama , japan
loss#32 - 9#jon jones#submission (rear naked choke)#ufc 135#4#1:14#denver , colorado , united states
win#32 - 8#matt hamill#decision (unanimous)#ufc 130#3#5:00#las vegas , nevada , united states
win#31 - 8#lyoto machida#decision (split)#ufc 123#3#5:00#auburn hills , michigan , united states
loss#30 - 8#rashad evans#decision (unanimous)#ufc 114#3#5:00#las vegas , nevada , united states
win#30 - 7#keith jardine#decision (unanimous)#ufc 96#3#5:00#columbus , ohio , united states
win#29 - 7#wanderlei silva#ko (punch)#ufc 92#1#3:21#las vegas , nevada , united states
loss#28 - 7#forrest griffin#decision (unanimous)#ufc 86#5#5:00#las vegas , nevada , united states
win#28 - 6#dan henderson#decision (unanimous)#ufc 75#5#5:00#london , england
win#27 - 6#chuck liddell#tko (punches)#ufc 71#1#1:53#las vegas , nevada , united states
win#26 - 6#marvin eastman#ko (punches)#ufc 67#2#3:49#las vegas , nevada , united states
win#25 - 6#matt lindland#decision (split)#wfa : king of the streets#3#5:00#los angeles , california , united states
win#24 - 6#yoon dong - sik#decision (unanimous)#pride 31#3#5:00#saitama , saitama , japan
win#23 - 6#hirotaka yokoi#tko (soccer kick and stomp)#pride 30#1#4:05#saitama , saitama , japan
loss#22 - 6#maurício rua#tko (soccer kicks)#pride total elimination 2005#1#4:47#osaka , osaka , japan
win#22 - 5#murilo rua#decision (split)#pride 29#3#5:00#saitama , saitama , japan
loss#21 - 5#wanderlei silva#ko (knees)#pride 28#2#3:26#saitama , saitama , japan
win#21 - 4#ricardo arona#ko (slam)#pride critical countdown 2004#1#7:32#saitama , saitama , japan
win#20 - 4#ikuhisa minowa#tko (knee)#pride shockwave 2003#2#1:05#saitama , saitama , japan
loss#19 - 4#wanderlei silva#tko (knees)#pride final conflict 2003#1#6:28#tokyo , japan
win#19 - 3#chuck liddell#tko (corner stoppage)#pride final conflict 2003#2#3:10#tokyo , japan
win#18 - 3#murilo bustamante#decision (split)#pride total elimination 2003#3#5:00#saitama , saitama , japan
win#17 - 3#mikhail ilyukhin#tko (knee to the body)#pride 26#1#6:26#yokohama , kanagawa , japan
win#16 - 3#kevin randleman#tko (knees & punches)#pride 25#1#6:58#yokohama , kanagawa , japan
win#15 - 3#igor vovchanchyn#submission (injury)#pride 22#1#7:17#nagoya , aichi , japan
win#14 - 3#sean gray#tko (punches)#kotc 13 - revolution#3#0:37#reno , nevada , united states
win#13 - 3#masaaki satake#tko (slam)#pride 20#1#7:07#yokohama , kanagawa , japan
loss#12 - 3#daijiro matsui#dq (knee to groin)#pride 18#1#0:14#fukuoka , fukuoka , japan
win#12 - 2#yuki ishikawa#ko (punches)#pride 17#1#1:52#tokyo , japan
win#11 - 2#alexander otsuka#tko (doctor stoppage)#battlarts : battlarts vs the world#2#5:00#tokyo , japan
loss#10 - 2#kazushi sakuraba#submission (rear naked choke)#pride 15#1#5:41#saitama , saitama , japan
win#10 - 1#kenneth williams#submission (rear naked choke)#gladiator challenge 4#1#4:40#colusa , california , united states
win#9 - 1#bryson haubrick#submission (punches)#kotc 8 - bombs away#1#1:48#williams , california , united states
win#8 - 1#rocko henderson#submission (kimura)#gladiator challenge 3#2#1:15#friant , california , united states
win#7 - 1#dave taylor#tko (corner stoppage)#gladiator challenge 2#1#5:00#colusa , california , united states
win#6 - 1#charlie west#decision (unanimous)#gladiator challenge 1#3#5:00#san jacinto , california , united states
win#5 - 1#rob smith#decision (unanimous)#kotc 6 - road warriors#3#5:00#mt pleasant , michigan , united states
win#4 - 1#warren owsley#submission (armbar)#dangerzone : night of the beast#1#6:04#lynchburg , virginia , united states
win#3 - 1#ron rumpf#tko (punches)#continental freefighting alliance 2#1#1:18#corinth , mississippi , united states
loss#2 - 1#marvin eastman#decision (unanimous)#kotc 4 - gladiators#2#5:00#san jacinto , california , united states
win#2 - 0#marco bermudaz#submission (rear naked choke)#huntington beach underground pancrase#2#7:17#huntington beach , california , united states
win#1 - 0#mike pyle#decision (unanimous)#iscf : memphis#3#5:00#memphis , tennessee , united states
