driver#constructor#laps#time / retired#grid
niki lauda#ferrari#70#1:43:53.98#1
jody scheckter#tyrrell - ford#70#+ 19.22#9
carlos reutemann#brabham - ford#70#+ 41.82#6
patrick depailler#tyrrell - ford#70#+ 1:00.08#12
clay regazzoni#ferrari#70#+ 1:03.84#4
tom pryce#shadow - ford#70#+ 1:28.45#5
emerson fittipaldi#mclaren - ford#69#+ 1 lap#8
carlos pace#brabham - ford#69#+ 1 lap#2
bob evans#brm#68#+ 2 laps#20
john watson#surtees - ford#68#+ 2 laps#18
mark donohue#penske - ford#67#+ 3 laps#21
wilson fittipaldi#fittipaldi - ford#67#+ 3 laps#24
franã§ois migault#hill - ford#57#suspension#22
vittorio brambilla#march - ford#54#brakes#3
jacky ickx#lotus - ford#52#brakes#16
ronnie peterson#lotus - ford#36#brakes#14
jacques laffite#williams - ford#18#gearbox#23
lella lombardi#march - ford#18#engine#17
tony brise#hill - ford#17#engine#7
james hunt#hesketh - ford#15#transmission#11
jean - pierre jarier#shadow - ford#13#spun off#10
arturo merzario#williams - ford#2#clutch#19
alan jones#hesketh - ford#1#accident#13
jochen mass#mclaren - ford#0#accident#15
