res#record#opponent#method#event#round#location
win#20 - 13 - 1#marvin babe#submission (armbar)#kotc - bad intentions 2#1#oklahoma , united states
loss#19 - 13 - 1#quinn mulhern#submission (omoplata)#kotc - militia#1#california , united states
loss#19 - 12 - 1#jean silva#ko (punches)#cage rage 23#2#london , england
win#19 - 11 - 1#adam disabato#submission (toe hold)#gfc : evolution#1#ohio , united states
loss#18 - 11 - 1#tatsuya kawajiri#tko (strikes)#pride bushido 12#1#nagoya , japan
loss#18 - 10 - 1#vitor ribeiro#verbal submission (swollen eye)#gfc : team gracie vs team hammer house#2#ohio , united states
win#18 - 9 - 1#shannon ritch#technical submission (guillotine choke)#rm 7: championship night#1#mexico
win#17 - 9 - 1#mark moreno#submission (armbar)#x - 1 challengers#1#hawaii , united states
loss#16 - 9 - 1#daiju takase#decision (unanimous)#pride bushido 2#2#yokohama , japan
win#16 - 8 - 1#eiji mitsuoka#submission (kimura)#pride bushido 1#1#saitama , japan
win#15 - 8 - 1#jason st louis#submission (armbar)#adrenaline fighting championships 1#1#canada
loss#14 - 8 - 1#takaharu murahama#submission (achilles lock)#shooto 2003 - 1 / 24 in korakuen hall#1#tokyo , japan
loss#14 - 7 - 1#takanori gomi#decision (unanimous)#shooto - treasure hunt 10#3#yokohama , japan
win#14 - 6 - 1#shannon ritch#submission (armbar)#aztec challenge 1#1#mexico
loss#13 - 6 - 1#john alessio#tko (punches)#kotc 15 - bad intentions#1#california , united states
win#13 - 5 - 1#thomas denny#submission (armbar)#gladiator challenge 11#1#california , united states
win#12 - 5 - 1#john chrisostomo#submission (keylock)#warriors quest 4: genesis#1#hawaii , united states
loss#11 - 5 - 1#gil castillo#decision (unanimous)#ufc 35#3#uncasville , connecticut , united states
win#11 - 4 - 1#steve berger#decision (unanimous)#kotc 11 - domination#3#california , united states
win#10 - 4 - 1#kevin hogan#submission (armbar)#kotc 10 - critical mass#2#california , united states
win#9 - 4 - 1#robert wynne#submission (armbar)#reality submission fighting 1#1#illinois , united states
loss#8 - 4 - 1#joe hurley#ko (elbows)#kotc 5 - cage wars#1#california , united states
win#8 - 3 - 1#antonio mckee#ko (head kick)#kotc 3 - knockout nightmare#2#california , united states
win#7 - 3 - 1#joe stevenson#submission (triangle choke)#kotc 1 - bas rutten 's king of the cage#1#california , united states
loss#6 - 3 - 1#steve gomm#submission (knees)#bas rutten invitational 3#1#colorado , united states
win#6 - 2 - 1#steve horton#submission (guillotine choke)#extreme challenge 22#1#utah , united states
loss#5 - 2 - 1#pat miletich#submission (choke)#ufc 16#1#louisiana , united states
win#5 - 1 - 1#courtney turner#submission (armbar)#ufc 16#1#louisiana , united states
loss#4 - 1 - 1#pat miletich#decision (unanimous)#extreme challenge trials#1#iowa , united states
draw#4 - 0 - 1#pat miletich#draw#extreme challenge 9#1#iowa , united states
win#4 - 0#delcio delcio#submission (guillotine choke)#carioca de freestyle#1#brazil
win#3 - 0#steve oliver#submission (rear naked choke)#independent event#1#mississippi , united states
win#2 - 0#randal kemp#submission (armbar)#independent event#1#mississippi , united states
win#1 - 0#scott carter#submission (peruvian necktie)#independent event#1#california , united states
