season#team 1#score#team 2#venue
2004#krung thai bank#0 - 2#dalian shide#thai - japanese stadium , thailand
2004#psm makassar#2 - 3#krung thai bank#mattoangin stadium , indonesia
2004#hoang anh gia lai#0 - 1#krung thai bank#pleiku stadium , vietnam
2004#krung thai bank#2 - 2#hoang anh gia lai#suphachalasai stadium , thailand
2004#dalian shide#3 - 1#krung thai bank#dalian people 's stadium , china pr
2004#krung thai bank#1 - 2#psm makassar#thai - japanese stadium , thailand
2005#krung thai bank#2 - 1#pisico bình ðinh#n / a
2005#krung thai bank#0 - 2#busan i'park#n / a
2005#krung thai bank#2 - 1#persebaya surabaya#n / a
2005#krung thai bank#0 - 1#pisico bình ðinh#n / a
2005#krung thai bank#0 - 4#busan i'park#n / a
2005#krung thai bank#1 - 0#persebaya surabaya#n / a
2008#krung thai bank#1 - 9#kashima antlers#chulalongkorn university sports stadium , thailand
2008#beijing guoan#4 - 2#krung thai bank#beijing fengtai stadium , china pr
2008#krung thai bank#9 - 1#nam dinh fc#chulalongkorn university sports stadium , thailand
2008#nam dinh fc#2 - 2#krung thai bank#my dinh national stadium , vietnam
2008#kashima antlers#8 - 1#krung thai bank#kashima soccer stadium , japan
2008#krung thai bank#5 - 3#beijing guoan#rajamangala stadium , thailand
