rank#name#tenure#leagues#attempts#completions#comp %#touchdowns#interceptions#yardage#qb rating
1#anthony calvillo#1994 - present#cfl#9437#5892#62.4#455#224#79816#95.5
2#damon allen#1985 - 2007#cfl#9138#5158#56.4#394#278#72381#83.8
3#brett favre#1991 - 2010#nfl#10169#6300#62.0#508#336#71838#86.0
4#warren moon#1978 - 2000#cfl / nfl#9205#5357#58.2#435#310#70553#84.2
5#peyton manning#1998 - present#nfl#8033#5260#65.5#458#211#61666#96.7
6#dan marino#1983 - 1999#nfl#8358#4967#59.4#420#252#61361#86.4
7#doug flutie#1985 - 2005#cfl / nfl / usfl#7276#4286#58.9#369#237#58179#87.8
8#danny mcmanus#1988 , 1990 - 2006#cfl / nfl#6689#3640#54.4#259#281#53255#76.0
9#henry burris#1998 - present#cfl / nfl#6043#3690#61.1#327#196#51733#93.2
10#john elway#1983 - 1998#nfl#7250#4123#56.9#300#226#51475#79.9
11#ron lancaster#1960 - 1978#cfl#6233#3384#54.3#333#396#50535#72.4
12#drew brees#2001 - present#nfl#6386#4192#65.6#338#170#47877#94.6
13#ricky ray#2002 - present#cfl#5597#3780#67.5#251#143#47466#98.0
14#fran tarkenton#1961 - 1978#nfl#6487#3686#56.8#342#266#47003#80.1
15#tom brady#2000 - present#nfl#6197#3934#63.5#342#127#46286#96.0
16#vinny testaverde#1987 - 2007#nfl#6701#3787#56.5#275#267#46233#75.0
17#jim kelly#1984 - 1996#nfl / usfl#5933#3604#60.7#320#195#45309#88.8
18#drew bledsoe#1993 - 2006#nfl#6717#3839#57.2#251#206#44611#77.1
19#matt dunigan#1983 - 1996#cfl#5476#3057#55.8#306#211#43857#84.5
20#jeff garcia#1994 - 2011#cfl / nfl / ufl#5955#3645#61.2#281#146#43300#88.9
21#dan fouts#1973 - 1987#nfl#5604#3297#58.8#254#242#43040#80.2
22#kerry collins#1995 - 2011#nfl#6261#3487#55.7#208#196#40922#73.8
23#joe montana#1979 - 1994#nfl#5391#3409#63.2#273#139#40551#92.3
24#tracy ham#1987 - 1999#cfl#4945#2670#54.0#284#164#40534#86.6
