#odm#narc odm - affiliated#pnu#pnu - affiliated#kanu pnu - affiliated#odm - kenya#unaffiliated#total#vacant
begin#99#3#43#21#14#16#11#207#3
15 january 2008#98#3#43#21#14#16#11#206#4
29 january 2008#97#3#43#21#14#16#11#205#5
31 january 2008#96#3#43#21#14#16#11#204#6
11 march 2008#102#3#46#21#15#18#11#216#6
10 june 2008#100#3#46#21#15#18#11#214#8
17 june 2008#103#3#48#21#15#18#11#219#3
7 october 2008#105#3#49#21#15#18#11#222#0
18 march 2009#105#3#49#20#15#18#11#221#1
4 may 2009#104#3#49#20#15#18#11#220#2
1 september 2009#106#3#49#20#15#18#11#222#0
15 january 2010#105#3#49#20#15#18#11#221#1
25 february 2010#105#3#48#20#15#18#11#220#2
29 april 2010#105#3#47#20#15#18#11#219#3
14 may 2010#105#3#46#20#15#18#11#218#4
16 june 2010#105#3#46#21#15#18#11#219#3
20 july 2010#105#3#47#21#15#18#11#220#2
13 august 2010#104#3#47#21#14#18#11#218#4
28 september 2010#105#3#47#23#14#18#11#221#1
19 october 2010#105#3#47#23#14#19#11#222#0
24 november 2010#105#3#47#22#14#19#11#221#1
22 february 2011#105#3#48#22#14#19#11#222#0
24 february 2011#105#3#47#22#14#19#11#221#1
14 march 2011#105#3#47#21#14#19#11#220#2
31 may 2011#105#3#47#22#14#19#11#221#1
23 august 2011#105#3#48#22#14#19#11#222#0
1 september 2011#105#3#48#22#14#19#10#221#1
6 december 2011#105#3#49#22#14#19#10#222#0
20 july 2012#104#3#47#22#14#19#10#219#3
20 september 2012#105#3#47#24#14#19#10#222#0
