episode#first air date#rating (1849)#share (1849)#viewers (millions)#rank (timeslot)
1#january 3 , 2011#2.9#7#9.04#n / a
2#january 10 , 2011#2.8#7#8.46#n / a
3#january 17 , 2011#2.7#7#8.80#n / a
4#january 24 , 2011#2.9#8#9.28#n / a
5#january 31 , 2011#3.2#8#9.66#n / a
6#february 7 , 2011#3.2#8#9.81#n / a
7#february 14 , 2011#2.9#8#9.32#n / a
8#february 21 , 2011#3.4#9#10.41#n / a
9#february 28 , 2011#3.5#9#11.33#n / a
10#march 7 , 2011#3.1#9#10.02#n / a
11#march 14 , 2011#4.5#13#13.88#n / a
