place#scorer#goals#appearances#team
1#gaspar#31#34#vaduz
2#samel šabanović#25#34#wil
3#pascal renfer#20#25#lugano
3#alain schultz#20#30#wohlen
5#christian pouga#18#32#bellinzona
5#safet etemi#18#33#gossau
7#rainer bieli#17#33#concordia basel
8#newton ben katanha#16#26#schaffhausen
8#bruno valente#16#30#chaux - de - fonds
10#önder çengel#14#26#winterthur
11#leandro fonseca#13#30#yverdon - sport
12#silvio carlos#11#16#wil
13#neri#10#16#bellinzona
13#yane bugnard#10#23#lausanne - sport
13#benjamin fischer#10#28#vaduz
13#ifet taljević#10#30#bellinzona
13#senad lulić#10#33#bellinzona
