position#team#points#played#drawn#lost#against#difference
1#corinthians#85#38#10#3#29#50
2#santo andré#68#38#11#8#45#26
3#avaí#67#38#13#7#40#31
4#barueri#63#38#3#15#55#3
5#ponte preta#58#38#7#14#46#8
6#vila nova#58#38#7#14#55#2
7#bragantino#57#38#9#13#41#6
8#juventude#56#38#8#14#48#3
9#são caetano#54#38#12#12#55#6
10#bahia#52#38#10#14#65#- 18
11#paraná#49#38#7#17#54#- 5
12#ceará#49#38#13#12#50#2
13#abc#48#38#12#14#57#- 2
14#brasiliense#47#38#8#17#64#- 8
15#américa de natal#46#38#10#16#51#- 5
16#fortaleza#45#38#9#17#56#0
17#marília#45#38#12#15#60#- 13
18#criciúma#41#38#8#19#54#- 14
19#gama#35#38#8#21#72#- 35
20#crb#24#38#9#24#72#- 37
