driver#constructor#laps#time / retired#grid
eddie irvine#ferrari#57#1:35:01.659#6
heinz - harald frentzen#jordan - mugen - honda#57#+ 1.027#5
ralf schumacher#williams - supertec#57#+ 7.012#8
giancarlo fisichella#benetton - playlife#57#+ 33.418#7
rubens barrichello#stewart - ford#57#+ 54.698#4
pedro de la rosa#arrows#57#+ 1:24.317#18
toranosuke takagi#arrows#57#+ 1:26.288#17
michael schumacher#ferrari#56#+ 1 lap#3
ricardo zonta#bar - supertec#48#gearbox#19
luca badoer#minardi - ford#42#gearbox#21
alexander wurz#benetton - playlife#28#suspension#10
pedro diniz#sauber - petronas#27#transmission#14
marc gené#minardi - ford#25#collision#22
jarno trulli#prost - peugeot#25#collision#12
olivier panis#prost - peugeot#23#wheel#20
mika häkkinen#mclaren - mercedes#21#throttle#1
alessandro zanardi#williams - supertec#20#spun off#15
david coulthard#mclaren - mercedes#13#hydraulics#2
jacques villeneuve#bar - supertec#13#wing failure#11
damon hill#jordan - mugen - honda#0#collision#9
jean alesi#sauber - petronas#0#gearbox#16
johnny herbert#stewart - ford#0#fire before start / non - restarter#13
