week#date#opponent#result#attendance
1#september 6 , 1998#oakland raiders#w 28 - 8#78945
2#september 13 , 1998#jacksonville jaguars#l 21 - 16#69821
3#september 20 , 1998#san diego chargers#w 23 - 7#73730
4#september 27 , 1998#philadelphia eagles#w 24 - 21#66675
5#october 4 , 1998#seattle seahawks#w 17 - 6#66418
6#october 11 , 1998#new england patriots#l 40 - 10#59749
8#october 26 , 1998#pittsburgh steelers#l 20 - 13#79431
9#november 1 , 1998#new york jets#l 20 - 17#65104
10#november 8 , 1998#seattle seahawks#l 24 - 12#66251
11#november 16 , 1998#denver broncos#l 30 - 7#78100
12#november 22 , 1998#san diego chargers#l 38 - 37#59894
13#november 29 , 1998#arizona cardinals#w 34 - 24#69613
14#december 6 , 1998#denver broncos#l 35 - 31#74692
15#december 13 , 1998#dallas cowboys#w 20 - 17#77697
16#december 20 , 1998#new york giants#l 28 - 7#66040
17#december 26 , 1998#oakland raiders#w 31 - 24#52679
