player#position#tries#goals#points
robbie paul#fullback#13#0#52
tevita vaikona#wing#20#0#80
leon pryce#centre#21#0#84
shontayne hape#centre#16#0#64
lesley vainikolo#wing#26#0#104
michael withers#fullback#2#0#8
paul deacon#scrum half#10#173#389
joe vagana#prop#5#0#20
james lowes#hooker#10#2#44
paul anderson#prop#5#0#20
daniel gartner#second row#8#0#32
jamie peacock#second row#4#0#16
mike forshaw#loose forward#6#0#24
lee gilmour#centre#5#0#20
karl pratt#stand off#9#0#36
alex wilkinson#wing#0#0#0
stuart reardon#fullback#5#0#20
lee radford#prop#10#12#64
jamie langley#loose forward#2#0#8
scott naylor#centre#9#0#36
karl pryce#wing#0#0#0
vinny myler#prop#0#0#0
chris bridge#centre#0#0#0
rob parker#prop#6#0#24
stuart fielden#prop#1#0#4
richard moore#wing#0#0#0
