name#nationality#position#appearances#starts#minutes#goals
lori chalupny#united states#mf#1#1#90#0
amanda cinalli#united states#fw#1#1#90#0
niki cross#united states#df#1#0#30#0
tina ellertson#united states#df#1#1#90#0
kendall fletcher#united states#df#1#1#90#0
stephanie logterman#united states#df#1#0#26#0
kia mcneill#united states#df#1#1#64#0
ashlee pistorius#united states#fw#1#0#19#0
hope solo#united states#gk#1#1#90#0
melissa tancredi#canada#fw#1#1#90#0
sarah walsh#australia#fw#1#1#90#0
elise weber#united states#df#1#1#90#0
christie welsh#united states#fw#1#1#71#0
