team#wins#losses#ties#win pct
arizona cardinals#2#1#0#0.667
atlanta falcons#3#1#1#0.700
baltimore ravens#13#9#0#0.591
buffalo bills#5#2#0#0.714
carolina panthers#3#1#0#0.750
chicago bears#3#1#0#0.750
cincinnati bengals#21#9#0#0.700
cleveland browns#19#5#0#0.792
dallas cowboys#1#2#0#0.333
denver broncos#1#3#0#0.250
detroit lions#4#1#0#0.800
green bay packers#2#2#0#0.500
houston texans#1#1#0#0.500
indianapolis colts#4#1#0#0.800
jacksonville jaguars#8#10#0#0.444
kansas city chiefs#5#3#0#0.625
miami dolphins#5#2#0#0.714
minnesota vikings#2#2#0#0.500
new england patriots#4#3#0#0.571
new orleans saints#2#1#0#0.667
new york giants#2#1#0#0.667
new york jets#4#1#0#0.800
oakland raiders#5#2#0#0.714
philadelphia eagles#2#2#0#0.500
st louis rams#1#2#0#0.333
san diego chargers#7#2#0#0.778
san francisco 49ers#1#3#0#0.250
seattle seahawks#2#4#0#0.333
tampa bay buccaneers#3#1#0#0.750
tennessee titans#11#12#0#0.478
washington redskins#3#0#0#1.000
totals :#149#90#1#0.623
