res#record#opponent#method#event#round#time#location
loss#28 - 15 - 1#ivan jorge#decision (unanimous)#ufc fight night : teixeira vs bader#3#5:00#belo horizonte , brazil
loss#28 - 14 - 1#chris clements#decision (split)#ufc 145#3#5:00#atlanta , georgia , united states
loss#28 - 13 - 1#josh neer#tko (doctor stoppage)#ufc live : cruz vs johnson#2#5:00#washington , dc , united states
win#28 - 12 - 1#chris wilson#decision (unanimous)#hoosier fc 7: validation#3#5:00#valparaiso , indiana , united states
win#27 - 12 - 1#randy crawford#ko (knee)#cutthroat mma : supremacy 2#1#0:21#hammond , indiana , united states
win#26 - 12 - 1#ted worthington#submission (heel hook)#xtreme fighting organization 35#2#3:56#chicago , illinois , united states
win#25 - 12 - 1#pete spratt#submission (rear - naked choke)#hoosier fc 2: it 's on#1#4:07#hammond , indiana , united states
win#24 - 12 - 1#tristan yunker#tko (punches)#war in the yard#2#1:12#anderson , indiana , united states
win#23 - 12 - 1#johnny davis#submission (rear - naked choke)#c3: corral combat classic 2#1#2:00#hammond , indiana , united states
loss#22 - 12 - 1#carlo prater#decision (split)#art of war 3#3#5:00#dallas , texas , united states
loss#22 - 11 - 1#erik oganov#decision (split)#bodog fight : usa vs russia#3#5:00#vancouver , british columbia , canada
loss#22 - 10 - 1#rory markham#tko (corner stoppage)#ifl : world championship semifinals#3#4:00#portland , oregon , united states
loss#22 - 9 - 1#jorge masvidal#decision (majority)#bodogfight : to the brink of war#3#5:00#costa rica
loss#22 - 8 - 1#nick thompson#decision (unanimous)#ufc 56#3#5:00#las vegas , nevada , united states
win#22 - 7 - 1#carlo prater#decision (unanimous)#ffc 15: fiesta las vegas#3#5:00#las vegas , nevada , united states
win#21 - 7 - 1#musail allaudinov#tko (punches)#euphoria : usa vs russia#3#1:04#atlantic city , new jersey , united states
loss#20 - 7 - 1#shinya aoki#submission (standing armlock)#shooto : 1 / 29 in korakuen hall#1#2:22#tokyo , japan
win#20 - 6 - 1#carlo prater#decision (split)#freestyle fighting championships 13#3#5:00#biloxi , mississippi , united states
win#19 - 6 - 1#derrick noble#decision (unanimous)#ihc 8: ethereal#3#5:00#hammond , indiana , united states
win#18 - 6 - 1#steve berger#decision (unanimous)#combat : do fighting challenge 1#3#5:00#cicero , illinois , united states
win#17 - 6 - 1#kyle jensen#submission (rear - naked choke)#extreme challenge 59#1#2:19#medina , minnesota , united states
loss#16 - 6 - 1#jason black#decision#xtreme kage kombat#3#5:00#des moines , iowa , united states
win#16 - 5 - 1#chris moore#submission (rear - naked choke)#ihc 7: the crucible#1#1:59#hammond , indiana , united states
win#15 - 5 - 1#jorge santiago#ko (punches)#absolute fighting championships 6#3#2:14#fort lauderdale , florida , united states
win#14 - 5 - 1#danila veselov#submission (guillotine choke)#m - 1 mfc : russia vs the world 6#1#1:54#moscow , russia
win#13 - 5 - 1#eddie sanchez#submission (choke)#tfc 8: hell raiser#1#n / a#toledo , ohio , united states
win#12 - 5 - 1#nuri shakir#submission (guillotine choke)#usmma 3: ring of fury#1#0:46#boston , massachusetts , united states
win#11 - 5 - 1#marco macera#tko (punches)#battle of new orleans 4#1#1:32#metairie , louisiana , united states
win#10 - 5 - 1#matt lee#tko (punches)#usmma 2: ring of fury#2#4:19#lowell , massachusetts , united states
loss#9 - 5 - 1#john renken#submission (kneebar)#hooknshoot : relentless#2#1:43#evansville , indiana , united states
win#9 - 4 - 1#eric pettit#submission (rear - naked choke)#sc 1: the awakening#1#n / a#canton , illinois , united states
win#8 - 4 - 1#jason glabus#submission (choke)#chicago challenge 7#1#n / a#chicago , illinois , united states
win#7 - 4 - 1#dale carson#submission (rear - naked choke)#hooknshoot : trial 3#1#n / a#tell city , indiana , united states
loss#6 - 4 - 1#cj fernandes#submission (punches)#tfc 1: fightzone 1#1#31:30#fort wayne , indiana , united states
win#6 - 3 - 1#angelo popofski#decision (unanimous)#hooknshoot : millennium#1#15:00#n / a
loss#5 - 3 - 1#adrian serrano#submission (americana)#hooknshoot : texas heat#1#6:30#n / a
win#5 - 2 - 1#pat heidenreich#submission (armbar)#night of the diamonds#1#n / a#n / a
draw#4 - 2 - 1#jason glabus#draw#chicago challenge 6#1#10:00#chicago , illinois , united states
loss#4 - 2#shonie carter#ko (spinning back fist)#indiana martial arts challenge 3#1#0:40#indiana , united states
win#4 - 1#jim rhodes#submission (armbar)#chicago challenge 5#1#n / a#chicago , illinois , united states
win#3 - 1#josh cate#submission (triangle choke)#fearless freestyle fighting 3#1#5:08#n / a
win#2 - 1#brandon bledsoe#submission (rear - naked choke)#fearless freestyle fighting 3#1#2:07#n / a
win#1 - 1#robert humphreys#decision (unanimous)#fearless freestyle fighting 2#1#15:00#n / a
loss#0 - 1#joey gilbert#decision (split)#jkd : challenge 2#3#5:00#chicago , illinois , united states
