res#record#opponent#method#event#round#location
win#10 - 7 - 1#declan williams#decision (unanimous)#cage warriors 39#3#cork , ireland
loss#9 - 7 - 1#mike easton#submission (guillotine choke)#uwc - man o war#3#virginia , united states
loss#9 - 6 - 1#zach makovsky#submission (rear naked choke)#extreme challenge - the war at the shore#2#new jersey , united states
loss#9 - 5 - 1#noah thomas#submission (rear naked choke)#rof 33 - adrenaline#1#new jersey , united states
win#9 - 4 - 1#billy kidd#submission (rear naked choke)#cccw - capital city cage wars#1#illinois , united states
loss#8 - 4 - 1#wilson reis#submission (rear naked choke)#elitexc : primetime#1#new jersey , united states
win#8 - 3 - 1#jeff hodges#submission (arm triangle choke)#wc - valhalla rising#1#illinois , united states
loss#7 - 3 - 1#antonio banuelos#decision (unanimous)#wec 29#3#nevada , united states
win#7 - 2 - 1#zach jenkins#decision (unanimous)#sc - shootfighting challenge#3#illinois , united states
win#6 - 2 - 1#mustafa hussaini#decision (unanimous)#kotc - hard knocks#n / a#illinois , united states
loss#5 - 2 - 1#mike french#decision (unanimous)#xfo 14 - xtreme fighting#3#illinois , united states
loss#5 - 1 - 1#matt fiordirosa#submission (rear naked choke)#xfo 13 - operation beatdown#1#illinois , united states
draw#5 - 0 - 1#elton chavez#draw#kotc - meltdown#2#indiana , united states
win#5 - 0#zach jenkins#decision (unanimous)#sc - shootfighting challenge#3#illinois , united states
win#4 - 0#tristan yunker#decision (unanimous)#sc - shootfighting challenge#3#illinois , united states
win#3 - 0#mat jagers#submission (triangle choke)#kotc - redemption on the river#1#illinois , united states
win#2 - 0#brad hoxsey#tko#sc - shootfighting challenge#1#illinois , united states
win#1 - 0#keith norman#submission (armbar)#sc - shootfighting challenge#1#illinois , united states
