state (class)#vacator#reason for change#successor#date of successors formal installation
virginia (1)#vacant#virginia re - admitted to the union#john f lewis (r)#january 26 , 1870
virginia (2)#vacant#virginia re - admitted to the union#john w johnston (d)#january 26 , 1870
mississippi (1)#vacant#mississippi re - admitted to the union#adelbert ames (r)#february 23 , 1870
mississippi (2)#vacant#mississippi re - admitted to the union#hiram r revels (r)#february 23 , 1870
texas (1)#vacant#texas re - admitted to the union#james w flanagan (r)#march 30 , 1870
texas (2)#vacant#texas re - admitted to the union#morgan c hamilton (r)#march 31 , 1870
georgia (3)#vacant#georgia re - admitted to the union#joshua hill (r)#february 1 , 1871
georgia (2)#vacant#georgia re - admitted to the union#homer v m miller (d)#february 28 , 1871
maine (2)#william p fessenden (r)#died september 8 , 1869#lot m morrill (r)#october 30 , 1869
minnesota (2)#daniel s norton (r)#died july 13 , 1870#william windom (r)#july 15 , 1870
missouri (3)#daniel t jewett (r)#successor elected january 20 , 1871#francis p blair , jr (d)#january 20 , 1871
