nat#name#since#goals#transfer fee
esp#valdés#1998#0#youth system
ita#zambrotta#2006#3#14 m
mex#márquez#2003#6#5 m
esp#puyol ( captain )#1992#5#youth system
ned#gio#2003#5#free
esp#iniesta#2002#13#youth system
esp#xavi ( vc )#1994#20#youth system
por#deco#2004#18#15 m
arg#messi#2004#25#youth system
cmr#eto'o#2004#73#24 m
bra#ronaldinho ( vc )#2003#80#30 m
esp#jorquera#2001#0#youth system
bra#belletti#2004#1#6 m
fra#thuram#2006#0#5 m
esp#oleguer#2002#1#youth system
bra#sylvinho#2004#2#2 m
ita#motta#2002#9#youth system
bra#edmílson#2004#0#10 m
isl#gudjohnsen#2006#10#12 m
fra#giuly#2004#23#7 m
esp#ezquerro#2005#4#free
arg#saviola#2001#68#loan
esp#rubén#2004#0#youth system
