rank#name#height ft (m)#year (est)#city
1#dubai city tower#-#2025#dubai
2#one park avenue#-#-#dubai
3#burj al fattan#-#-#dubai
4#difc tower 1#-#2015#dubai
5#dynamic tower#-#2010#dubai
6#p - 17#-#2011#dubai
7#signature towers office#-#-#dubai
8#the circle#-#-#dubai
9#sheikh hasher tower#-#-#dubai
10#signature towers hotel#-#-#dubai
11#g - tower#-#2012#dubai
12#mada'in hotel#-#-#dubai
13#signature towers residential#-#-#dubai
14#empire island tower#230 / 755#2012#dubai
15#saba tower 4#-#-#dubai
16#abu dhabi clock tower#200 / 656#2009#dubai
