res#record#opponent#method#event#round#time#location
win#22 - 2#ryan bader#tko (punches)#ufc fight night : teixeira vs bader#1#2:55#belo horizonte , minas gerais , brazil
win#21 - 2#james te huna#submission (guillotine choke)#ufc 160#1#2:38#las vegas , nevada , united states
win#20 - 2#quinton jackson#decision (unanimous)#ufc on fox : johnson vs dodson#3#5:00#chicago , illinois , united states
win#19 - 2#fábio maldonado#tko (doctor stoppage)#ufc 153#2#5:00#rio de janeiro , rio de janeiro , brazil
win#18 - 2#kyle kingsbury#submission (arm triangle choke)#ufc 146#1#1:53#las vegas , nevada , united states
win#17 - 2#ricco rodriguez#submission (punches)#mma against dengue#1#1:58#rio de janeiro , rio de janeiro , brazil
win#16 - 2#marvin eastman#ko (punch)#shooto brasil : fight for bope#1#4:00#rio de janeiro , rio de janeiro , brazil
win#15 - 2#antonio mendes#submission (rear naked choke)#shooto brazil 24#1#4:06#brasília , distrito federal , brazil
win#14 - 2#márcio cruz#tko (punches)#fight club 1: brazilian stars#2#4:21#rio de janeiro , rio de janeiro , brazil
win#13 - 2#simão melo#ko (punches)#shooto brazil 23#1#1:49#rio de janeiro , rio de janeiro , brazil
win#12 - 2#daniel tabera#decision (unanimous)#bitetti combat 8: 100 years of corinthians#3#5:00#são paulo , brazil
win#11 - 2#marko peselj#tko (punches)#impact fc 2#1#3:01#sydney , new south wales , australia
win#10 - 2#tiago tosato#ko (punches)#bitetti combat mma 7#1#1:27#rio de janeiro , rio de janeiro , brazil
win#9 - 2#joaquim ferreira#tko (corner stoppage)#bitetti combat mma 6#2#1:30#brasília , distrito federal , brazil
win#8 - 2#leonardo lucio nascimento#technical submission (guillotine choke)#bitetti combat mma 4#1#3:11#rio de janeiro , brazil
win#7 - 2#buckley acosta#ko (punches)#palace fighting championships 7#1#1:00#lemoore , california , united states
win#6 - 2#jorge oliveira#ko (punches)#pfc 6: no retreat , no surrender#1#0:05#lemoore , california , united states
win#5 - 2#rameau thierry sokoudjou#ko (punches)#wec 24#1#1:41#lemoore , california , united states
win#4 - 2#jack morrison#submission (rear naked choke)#wec 22#1#1:27#lemoore , california , united states
win#3 - 2#carlton jones#ko (punches)#wec 20#1#1:57#lemoore , california , united states
loss#2 - 2#ed herman#decision (unanimous)#sf 9: respect#3#5:00#gresham , oregon , united states
win#2 - 1#justin ellison#tko (punches)#sf 5: stadium#1#n / a#gresham , oregon , united states
win#1 - 1#matt horwich#decision (unanimous)#sf 3: dome#3#5:00#gresham , oregon , united states
loss#0 - 1#eric schwartz#tko (punches & elbows)#wec 3#2#3:33#lemoore , california , united states
