place#player#country#score#to par#money
1#bobby jones (a)#united states#70 + 79 + 71 + 73 = 293#+ 5#0
2#joe turnesa#united states#71 + 74 + 72 + 77 = 294#+ 6#500
t3#leo diegel#united states#72 + 76 + 75 + 74 = 297#+ 9#188
t3#johnny farrell#united states#76 + 79 + 69 + 73 = 297#+ 9#188
t3#bill mehlhorn#united states#68 + 75 + 76 + 78 = 297#+ 9#188
t3#gene sarazen#united states#78 + 77 + 72 + 70 = 297#+ 9#188
7#walter hagen#united states#73 + 77 + 74 + 74 = 298#+ 10#90
8#willie hunter#scotland united states#75 + 77 + 69 + 79 = 300#+ 12#80
t9#tommy armour#scotland united states#76 + 76 + 74 + 75 = 301#+ 13#68
t9#willie klein#united states#76 + 74 + 75 + 76 = 301#+ 13#68
t9#macdonald smith#scotland united states#82 + 76 + 68 + 75 = 301#+ 13#68
t9#dan williams#united states#72 + 74 + 80 + 75 = 301#+ 13#68
