rider#manufacturer#laps#time / retired#grid
lucio cecchinello#aprilia#24#42:09.029#4
manuel poggiali#gilera#24#+ 0.076#1
dani pedrosa#honda#24#+ 0.604#3
arnaud vincent#aprilia#24#+ 0.865#5
masao azuma#honda#24#+ 0.943#2
pablo nieto#aprilia#24#+ 1.618#7
stefano bianco#aprilia#24#+ 3.769#19
mika kallio#honda#24#+ 8.680#20
andrea dovizioso#honda#24#+ 8.915#11
gino borsoi#aprilia#24#+ 9.534#8
steve jenkner#aprilia#24#+ 11.749#16
mirko giansanti#honda#24#+ 20.252#13
max sabbatani#aprilia#24#+ 32.082#21
klaus nöhles#honda#24#+ 35.206#26
héctor barberá#aprilia#24#+ 49.526#25
andrea ballerini#honda#24#+ 1:02.359#23
michel fabrizio#gilera#24#+ 1:07.571#28
chaz davies#aprilia#24#+ 1:10.303#22
jorge lorenzo#derbi#24#+ 1:10.998#29
grégory lefort#aprilia#24#+ 1:11.479#31
mattia angeloni#gilera#24#+ 1:36.333#32
imre tóth#honda#24#+ 1:41.034#35
jimmy petit#honda#24#+ 1:42.517#33
grégory leblanc#honda#24#+ 1 lap#37
yoann tiberio#honda#24#+ 1 lap#36
alex de angelis#aprilia#11#accident#6
jaroslav huleš#aprilia#11#accident#15
simone sanna#aprilia#10#accident#12
joan olivé#honda#10#accident#14
alex baldolini#aprilia#10#accident#30
ángel rodríguez#aprilia#8#accident#9
youichi ui#derbi#8#accident#10
gábor talmácsi#italjet#5#accident#18
noboru ueda#honda#5#accident#17
stefano perugini#italjet#4#retirement#27
jakub smrž#honda#0#retirement#24
vincent braillard#honda#0#accident#34
