name#latitude#longitude#diameter (km)#year named
alpan fluctus#7.5s#349.0e#500.0#1997
argimpasa fluctus#0.0n#175.5e#950.0#1997
arubani fluctus#55.0s#132.0e#620.0#1997
bolotnitsa fluctus#50.0n#160.0e#1100.0#1997
cavillaca fluctus#72.0s#340.0e#800.0#1997
darago fluctus#11.5s#313.5e#775.0#1994
djabran fluctus#43.5s#183.0e#300.0#1997
djata fluctus#66.5n#307.5e#280.0#1997
dotetem fluctus#6.0s#177.5e#530.0#1997
eriu fluctus#37.0s#357.0e#600.0#1991
heloha fluctus#77.0 n#344.0 e#375.0#2009
henwen fluctus#20.5s#179.9e#485.0#1994
hikuleo fluctus#52.5n#208.0e#600.0#1997
ilaheva fluctus#42.5s#84.0e#900.0#2000
itoki fluctus#6.0s#229.0e#900.0#2003
juturna fluctus#76.0s#350.0e#900.0#1997
kaapaau fluctus#66.5s#181.0e#350.0#2000
kaiwan fluctus#45.5s#358.0e#1200.0#1991
kasogonaga fluctus#18.0s#268.0e#850.0#2000
koti fluctus#12.5n#318.0e#400.0#1997
kunkubey fluctus#50.0s#207.0e#350.0#2000
mamapacha fluctus#60.0n#185.0e#900.0#1997
medb fluctus#56.0s#127.0e#350.0#1997
merisa fluctus#20.5n#9.0e#630.0#2000
mert fluctus#50.5s#230.5e#250.0#2000
mortim - ekva fluctus#1.0n#334.0e#1250.0#2000
mylitta fluctus#54.0s#355.5e#1250.0#1991
nambubi fluctus#61.0s#135.0e#850.0#1997
naunet fluctus#81.0s#136.0e#200.0#2000
neago fluctu - s#49.3n#351.0e#0.0#1991
nekhebet fluctus#0.0n#35.0e#400.0#1997
ney - anki fluctus#37.0s#105.0e#950.0#2000
ningyo fluctus#5.5s#206.0e#970.0#1994
oilule fluctus#22.0s#79.0e#900.0#2000
ovda fluctus#6.1s#95.5e#310.0#1994
praurime fluctus#16.0n#154.0e#750.0#1997
rafara fluctus#65.0s#159.0e#700.0#1997
sicasica fluctus#52.0s#180.4e#175.0#1994
sobra fluctus#6.0n#248.0e#700.0#1997
sonmunde fluctus#60.0s#120.0e#400.0#1997
strenia fluctus#41.0n#250.0e#490.0#1997
syvne fluctus#36.0s#72.0e#900.0#2000
tie fluctus#21.0n#159.0e#550.0#2003
tsunghi fluctus#67.0s#130.0e#800.0#1997
turgmam fluctus#56.0n#220.0e#500.0#1997
ubastet fluctus#48.0s#27.0e#550.0#1997
uilata fluctus#17.0n#314.0e#700.0#1997
uzume fluctus#28.6n#220.3e#700.0#1997
vut - ami fluctus#38.0s#67.0e#1300.0#2000
yagami fluctus#80.6s#152.0e#260.0#2000
zipaltonal fluctus#37.7n#251.3e#290.0#1997
