#average population (x 1000)#live births#deaths#natural change#crude birth rate (per 1000)#crude death rate (per 1000)#natural change (per 1000)
1915#2 137#38 722#43 596#4 874#18.1#20.4#2.3
1916#2 137#35 565#31 512#4 053#16.6#14.7#1.9
1917#2 134#32 266#43 047#10 781#15.1#20.2#5.1
1918#2 121#33 176#47 522#14 346#15.6#22.4#6.8
1919#2 108#41 095#51 930#10 835#19.5#24.6#5.1
1920#2 104#47 642#44 487#3 155#22.6#21.1#1.5
1921#2 116#51 864#31 915#19 949#24.5#15.1#9.4
1922#2 136#58 064#37 598#20 466#27.2#17.6#9.6
1923#2 161#60 869#32 432#28 437#28.2#15.0#13.2
1924#2 189#63 864#35 493#28 371#29.2#16.2#13.0
1925#2 217#63 743#37 179#26 564#28.8#16.8#12.0
1926#2 245#63 655#34 380#29 275#28.4#15.3#13.0
1927#2 273#66 114#38 897#27 217#29.1#17.1#12.0
1928#2 301#65 945#35 698#27 116#28.7#15.5#11.8
1929#2 328#63 083#39 669#23 414#27.1#17.0#10.1
1930#2 354#64 164#37 151#27 013#27.3#15.8#11.5
1931#2 380#63 419#37 478#25 941#26.6#15.7#10.9
1932#2 407#65 371#36 577#28 794#27.2#15.2#12.0
1933#2 436#62 145#32 749#29 396#25.5#13.4#12.1
1934#2 464#60 770#35 789#24 981#24.7#14.5#10.1
1935#2 488#57 970#34 595#23 375#23.3#13.9#9.4
1936#2 513#60 446#33 440#25 939#24.1#13.3#10.3
1937#2 538#56 393#33 260#22 433#22.2#13.1#8.8
1938#2 563#57 951#32 256#24 562#22.6#12.6#9.6
