series#platform#japanese release date#north american release date#european release date#australia release date
salburg#playstation#1997 - 05 - 23#-#-#-
salburg#playstation#1998 - 12 - 17#-#-#-
salburg#playstation 2#2001 - 06 - 21#-#-#-
gramnad#playstation 2#2002 - 06 - 27#-#-#-
gramnad#playstation 2#2003 - 06 - 26#-#-#-
iris#playstation 2#2004 - 05 - 27#2005 - 06 - 28#2006 - 03 - 17#2006 - 03 - 23
iris#playstation 2#2005 - 05 - 26#2006 - 04 - 26#2006 - 09 - 29#2006 - 10 - 12
iris#playstation 2#2006 - 06 - 29#2007 - 05 - 29#2007 - 08 - 03#2006 - 07 - 26
mana#playstation 2#2007 - 06 - 21#2008 - 04 - 01#2009 - 03 - 27#-
mana#playstation 2#2008 - 05 - 29#2009 - 08 - 25#-#-
arland#playstation 3#2009 - 06 - 25#2010 - 09 - 28#2010 - 10 - 22#2010 - 10 - 28
arland#playstation 3#2010 - 06 - 24#2011 - 09 - 27#2011 - 09 - 30#2011 - 10 - 06
arland#playstation 3#2011 - 06 - 23#2012 - 05 - 29#2012 - 05 - 25#2012 - 05 - 31
dusk#playstation 3#2012 - 06 - 28#2013 - 03 - 05#2013 - 03 - 08#2013 - 03 - 07
dusk#playstation 3#2013 - 06 - 27#2014 - 03 - 11#2014 - 03 - 07#2014
