place#player#country#score#to par
1#greg norman#australia#71 + 68 = 139#1
t2#lee trevino#united states#74 + 68 = 142#+ 2
t2#denis watson#zimbabwe#72 + 70 = 142#+ 2
t4#raymond floyd#united states#75 + 68 = 143#+ 3
t4#bob tway#united states#70 + 73 = 143#+ 3
t4#tom watson#united states#72 + 71 = 143#+ 3
t7#david frost#south africa#72 + 72 = 144#+ 4
t7#bernhard langer#west germany#74 + 70 = 144#+ 4
t7#tsuneyuki nakajima#japan#72 + 72 = 144#+ 4
t7#mac o'grady#united states#75 + 69 = 144#+ 4
t7#payne stewart#united states#76 + 68 = 144#+ 4
t7#bobby wadkins#united states#75 + 69 = 144#+ 4
t7#lanny wadkins#united states#74 + 70 = 144#+ 4
