res#record#opponent#method#event#round#time#location
win#25 - 10 (1)#amir sadollah#decision (unanimous)#ufc on fuel tv : struve vs miocic#3#5:00#nottingham , england
win#24 - 10 (1)#duane ludwig#ko (punch and elbows)#ufc 146#1#3:51#las vegas , nevada , united states
loss#23 - 10 (1)#chris lytle#submission (guillotine choke)#ufc live : hardy vs lytle#3#4:16#milwaukee , wisconsin , united states
loss#23 - 9 (1)#anthony johnson#decision (unanimous)#ufc fight night : nogueira vs davis#3#5:00#seattle , washington , united states
loss#23 - 8 (1)#carlos condit#ko (punch)#ufc 120#1#4:27#london , england
loss#23 - 7 (1)#georges st - pierre#decision (unanimous)#ufc 111#5#5:00#newark , new jersey , united states
win#23 - 6 (1)#mike swick#decision (unanimous)#ufc 105#3#5:00#manchester , england
win#22 - 6 (1)#marcus davis#decision (split)#ufc 99#3#5:00#cologne , germany
win#21 - 6 (1)#rory markham#ko (punch)#ufc 95#1#1:09#london , england
win#20 - 6 (1)#akihiro gono#decision (split)#ufc 89#3#5:00#birmingham , england
win#19 - 6 (1)#daniel weichel#tko (elbows)#uf : punishment#2#1:49#doncaster , england
win#18 - 6 (1)#chad reiner#tko (punches)#cwfc : enter the rough house 6#3#2:10#nottingham , england
win#17 - 6 (1)#manuel garcia#submission (punches)#cwfc : enter the rough house 5#1#2:21#nottingham , england
loss#16 - 6 (1)#yoshiyuki yoshida#dq (accidental groin kick)#gcm : cage force 5#2#0:04#tokyo , japan
win#16 - 5 (1)#hidetaka monma#tko (corner stoppage)#gcm : cage force 4#3#0:29#tokyo , japan
win#15 - 5 (1)#daizo ishige#decision (unanimous)#gcm : cage force ex eastern bound#3#5:00#tokyo , japan
win#14 - 5 (1)#willy ni#submission (guillotine choke)#cwfc : enter the rough house 2#2#0:39#nottingham , england
win#13 - 5 (1)#alexandre izidro#tko (punches)#cwfc : enter the rough house#3#4:56#nottingham , england
win#12 - 5 (1)#danny rushton#tko (retirement)#cwfc : showdown#1#5:00#sheffield , england
loss#11 - 5 (1)#david baron#decision#2h2h : road to japan#2#3:00#netherlands
loss#11 - 4 (1)#forrest petz#decision (unanimous)#fightfest 2#3#5:00#canton , ohio , united states
win#11 - 3 (1)#diego gonzalez#tko (doctor stoppage)#cwfc : strike force 5#3#0:19#coventry , england
win#10 - 3 (1)#matt thorpe#decision (split)#cwfc : strike force 4#5#5:00#coventry , england
nc#9 - 3 (1)#diego gonzalez#no contest#cwfc : strike force 3#2#1:19#coventry , england
win#9 - 3#sami berik#decision (unanimous)#cwfc : quest 3#3#5:00#sheffield , england
win#8 - 3#lautaro arborelo#tko (punches)#cwfc : strike force 2#3#3:52#coventry , england
win#7 - 3#alexandre izidro#decision (unanimous)#kotc : warzone#2#5:00#sheffield , england
win#6 - 3#stuart barrs#tko (punches)#uk : storm#2#2:44#birmingham , england
loss#5 - 3#david baron#submission (triangle choke)#cwfc : strike force#2#3:10#coventry , england
win#5 - 2#andy walker#tko (punches)#cwfc : quest 1#1#3:26#yorkshire , england
win#4 - 2#lee doski#submission (injury)#fight club uk 1#2#n / a#sheffield , england
win#3 - 2#aaron barrow#ko (head kick and punches)#cwfc 9: xtreme xmas#1#0:13#sheffield , england
loss#2 - 2#pat healy#submission (guillotine choke)#absolute fighting championships 10#1#3:50#fort lauderdale , florida , united states
win#2 - 1#andy melia#submission (punches)#cwfc 8: brutal force#2#3:55#sheffield , england
win#1 - 1#paul jenkins#decision (majority)#full contact fight night 2#3#5:00#portsmouth , england
loss#0 - 1#lee doski#submission (rear - naked choke)#extreme brawl 7#2#4:59#bracknell , england
