date#time#acc team#big ten team#location#television#attendance#winner#challenge leader
tue , nov 29#7:00 pm#virginia#15 michigan#john paul jones arena charlottesville , va#espn2#10564#virginia (70 - 58)#acc (1 - 0)
tue , nov 29#7:15 pm#georgia tech#northwestern#philips arena atlanta , ga#espnu#5619#northwestern (76 - 60)#tied (1 - 1)
tue , nov 29#7:30 pm#maryland#illinois#comcast center college park , md#espn#13187#illinois (71 - 62)#big ten (2 - 1)
tue , nov 29#9:00 pm#miami#purdue#mackey arena west lafayette , in#espn2#13927#purdue (76 - 65)#big ten (3 - 1)
tue , nov 29#9:15 pm#clemson#iowa#carver - hawkeye arena iowa city , ia#espnu#10449#clemson (71 - 55)#big ten (3 - 2)
tue , nov 29#9:30 pm#4 duke#2 ohio state#value city arena columbus , oh#espn#18809#ohio state (85 - 63)#big ten (4 - 2)
wed , nov 30#7:15 pm#nc state#indiana#rbc center raleigh , nc#espn2#16597#indiana (86 - 75)#big ten (5 - 2)
wed , nov 30#7:15 pm#boston college#penn state#conte forum chestnut hill , ma#espnu#4326#penn state (62 - 54)#big ten (6 - 2)
wed , nov 30#7:30 pm#florida state#michigan state#breslin student events center east lansing , mi#espn#14797#michigan state (65 - 49)#big ten (7 - 2)
wed , nov 30#9:15 pm#virginia tech#minnesota#williams arena minneapolis , mn#espn2#10487#minnesota (58 - 55)#big ten (8 - 2)
wed , nov 30#9:15 pm#wake forest#nebraska#bob devaney sports center lincoln , ne#espnu#9769#wake forest (55 - 53)#big ten (8 - 3)
