round#pick#player#position#school / club team
1#6#johnny strzykalski#back#marquette
3#21#bob nussbaumer#halfback#michigan
4#36#ed cody#back#purdue
6#46#john ferraro#tackle#usc
7#56#art renner#end#michigan
8#66#bert cole#tackle#oklahoma state
9#76#grant darnell#guard#texas a&m
10#86#joe mcafee#back#holy cross
11#96#steve conroy#back#holy cross
12#106#billy hildebrand#end#mississippi state
13#116#tom hand#center#iowa
14#126#george hill#guard#georgia tech
15#136#jim hough#back#clemson
16#146#dean gaines#tackle#georgia tech
17#156#j p miller#guard#georgia
18#166#boyd morse#end#arizona
19#176#joe bradford#center#usc
20#186#bill derosa#back#boston college
21#196#ralph grant#back#bucknell
22#206#howie brown#guard#indiana
23#216#andy kosmac#center#lsu
24#226#maurice stacy#back#washington
25#236#chick davidson#tackle#cornell
26#246#john norton#back#washington
27#256#ed holtsinger#back#georgia tech
28#266#joe campbell#end#holy cross
29#276#francis saunders#tackle#clemson
30#286#al sparlis#guard#ucla
31#291#ralph clymer#guard#purdue
32#296#joervin henderson#center#missouri
