heat#lane#name#nationality#time
10#4#cate campbell#australia#24.20
11#4#marleen veldhuis#netherlands#24.38
10#5#dara torres#united states#24.58
12#4#lisbeth trickett#australia#24.67
11#6#jeanette ottesen#denmark#24.83
12#5#britta steffen#germany#24.90
12#2#zhu yingwen#china#24.91
10#3#francesca halsall#great britain#24.93
11#5#therese alshammar#sweden#24.94
12#6#malia metella#france#24.95
11#2#arlene semeco#venezuela#24.98
11#3#hinkelien schreuder#netherlands#25.00
11#8#li zhesi#china#25.00
12#3#kara lynn joyce#united states#25.01
12#1#hanna - maria seppälä#finland#25.06
10#6#aliaksandra herasimenia#belarus#25.07
12#7#agata ewa korc#poland#25.14
11#1#céline couderc#france#25.22
8#7#anna gostomelsky#israel#25.23
12#8#sviatlana khakhlova#belarus#25.27
9#5#triin aljand#estonia#25.29
10#2#anna - karin kammerling#sweden#25.34
10#7#flavia cazziolato#brazil#25.34
8#2#arianna vanderpool - wallace#bahamas#25.40
10#1#petra dallmann#germany#25.43
11#7#lize - mari retief#south africa#25.44
9#4#martina moravcová#slovakia#25.47
9#7#anastasia aksenova#russia#25.51
8#5#sandra kazíková#czech republic#25.54
9#6#victoria poon#canada#25.58
9#8#chang hee - jin#south korea#25.59
9#2#oksana serikova#ukraine#25.65
9#1#martha matsa#greece#25.68
10#8#cristina chiuso#italy#25.74
9#3#vanessa garcía#puerto rico#25.81
8#3#ragnheidur ragnarsdottir#iceland#25.82
8#1#natasha moodie#jamaica#25.95
7#1#carolina colorado#colombia#26.11
6#6#rugilė mileišytė#lithuania#26.19
7#2#sharntelle mclean#trinidad and tobago#26.19
7#5#eva dobar#hungary#26.33
6#2#anna - liza mopio - jane#papua new guinea#26.47
7#3#nina sovinek#slovenia#26.49
6#3#yamile bahamonde#ecuador#26.54
7#6#yu ning elaine chan#hong kong#26.54
7#8#marina mulyayeva#kazakhstan#26.57
6#5#christel simms#philippines#26.64
8#8#chii lin leung#malaysia#26.75
7#4#monika babok#croatia#26.84
6#4#veronica vdovicenco#moldova#26.92
5#4#sharon paola fajardo sierra#honduras#27.19
6#7#ngozi monu#nigeria#27.39
6#1#ellen lendra hight#zambia#27.42
5#5#chinyere pigot#suriname#27.66
5#7#dalia tórrez zamora#nicaragua#27.81
5#3#razan taha#jordan#27.82
6#8#marianela quesada#costa rica#28.11
4#4#ximene gomes#mozambique#28.15
5#2#rovena marku#albania#28.15
5#6#tojohanitra andriamanjatoarimanana#madagascar#28.54
4#8#senele dlamini#swaziland#28.70
4#1#virginia farmer#american samoa#28.82
5#1#diane etiennette#mauritius#28.83
4#3#katerine moreno#bolivia#29.05
5#8#ana crysna da silva romero#angola#29.06
3#5#olivia aya nakitanda#uganda#29.38
4#2#dashtserengiin saintsetseg#mongolia#29.63
7#7#mariya bugakova#uzbekistan#29.73
4#5#kiran khan#pakistan#29.84
3#4#samantha paxinos#botswana#29.91
3#8#amber yobech#palau#30.00
4#6#aminath rouya hussain#maldives#30.21
4#7#doli akhter#bangladesh#30.23
1#5#sameera al bitar#bahrain#30.32
3#6#julianne kirchner#marshall islands#30.42
3#7#debra daniel#federated states of micronesia#30.61
3#2#magdalena moshi#tanzania#31.37
3#1#vitiny hemthon#cambodia#31.41
2#7#zakiya nassar#palestine#31.97
3#3#katerina izmaylova#tajikistan#32.09
2#5#karishma karki#nepal#32.35
2#4#zahra pinto#malawi#32.53
2#6#antoinette guedia mouafo#cameroon#33.59
2#3#vilayphone vongphachanh#laos#34.79
2#2#elisabeth nikiema#burkina faso#34.98
2#8#elsie uwamahoro#burundi#36.86
1#6#gloria koussihouede#benin#37.09
1#3#pamela girimbabazi#rwanda#39.78
1#4#djene barry#guinea#39.80
2#1#mariama souley bana#niger#40.83
8#4#miroslava najdanovski#serbia#dns
8#6#bayan jumah#syria#dns
