res#record#opponent#method#event#round#time#location
win#13 - 1#junior dos santos#tko (slam and punch)#ufc 166#5#3:09#houston , texas , united states
win#12 - 1#antonio silva#tko (punches)#ufc 160#1#1:21#las vegas , nevada , united states
win#11 - 1#junior dos santos#decision (unanimous)#ufc 155#5#5:00#las vegas , nevada , united states
win#10 - 1#antonio silva#tko (punches)#ufc 146#1#3:36#las vegas , nevada , united states
loss#9 - 1#junior dos santos#ko (punches)#ufc on fox : velasquez vs dos santos#1#1:04#anaheim , california , united states
win#9 - 0#brock lesnar#tko (punches)#ufc 121#1#4:12#anaheim , california , united states
win#8 - 0#antônio rodrigo nogueira#ko (punches)#ufc 110#1#2:20#sydney , australia
win#7 - 0#ben rothwell#tko (punches)#ufc 104#2#0:58#los angeles , california , united states
win#6 - 0#cheick kongo#decision (unanimous)#ufc 99#3#5:00#cologne , germany
win#5 - 0#denis stojnić#tko (punches)#ufc fight night : lauzon vs stephens#2#2:34#tampa , florida , united states
win#4 - 0#jake o'brien#tko (punches)#ufc : silva vs irvin#1#2:02#las vegas , nevada , united states
win#3 - 0#brad morris#tko (punches)#ufc 83#1#2:10#montreal , quebec , canada
win#2 - 0#jeremiah constant#tko (punches)#bodogfight : st petersburg#1#4:00#st petersburg , russia
win#1 - 0#jesse fujarczyk#tko (punches)#strikeforce : tank vs buentello#1#1:58#fresno , california , united states
