year#team#number#bb + hbp#ba (place)
1984#seibu lions#5#11#209
1985#seibu lions#5#39#275
1986#seibu lions#5#44#296（13）
1987#seibu lions#5#7#200
1988#seibu lions#5#31#263（23）
1989#seibu lions#5#39#304（7）
1990#seibu lions#5#53#266（22）
1991#seibu lions#5#51#271（14）
1992#seibu lions#5#67#285（14）
1993#seibu lions#5#57#319（1）
1994#seibu lions#5#39#294（8）
1995#seibu lions#5#49#238
1996#yakult swallows#8#53#333（2）
1997#yakult swallows#8#22#262
1998#yakult swallows#8#12#304
1999#yakult swallows#8#6#196
carer total#carer total#carer total#580#282
