game#date#team#score#high points#high rebounds#high assists#location attendance#record
61#march 3#orlando#l 96 - 99 (ot)#lebron james (29)#lebron james , mike miller (6)#dwyane wade (5)#american airlines arena 19600#43 - 18
62#march 4#san antonio#l 95 - 125 (ot)#lebron james (26)#chris bosh (14)#lebron james (7)#at&t center 18581#43 - 19
63#march 6#chicago#l 86 - 87 (ot)#lebron james (26)#lebron james (8)#lebron james (6)#american airlines arena 19763#43 - 20
64#march 8#portland#l 96 - 105 (ot)#dwyane wade (38)#lebron james (11)#lebron james (8)#american airlines arena 19835#43 - 21
65#march 10#la lakers#w 94 - 88 (ot)#chris bosh (24)#chris bosh (9)#lebron james (9)#american airlines arena 19986#44 - 21
66#march 12#memphis#w 118 - 85 (ot)#dwyane wade (28)#chris bosh (10)#dwyane wade (9)#american airlines arena 19600#45 - 21
67#march 14#san antonio#w 110 - 80 (ot)#chris bosh (30)#chris bosh (12)#lebron james (8)#american airlines arena 20021#46 - 21
68#march 16#oklahoma city#l 85 - 96 (ot)#chris bosh , dwyane wade (21)#chris bosh (11)#mario chalmers , lebron james (3)#american airlines arena 20083#46 - 22
69#march 18#atlanta#w 106 - 85 (ot)#lebron james (43)#chris bosh (10)#mike bibby (6)#philips arena 20024#47 - 22
70#march 19#denver#w 103 - 98 (ot)#lebron james (33)#chris bosh (11)#chris bosh (6)#american airlines arena 19600#48 - 22
71#march 23#detroit#w 100 - 94 (ot)#dwyane wade (24)#lebron james (8)#lebron james (7)#the palace of auburn hills 22076#49 - 22
72#march 25#philadelphia#w 111 - 99 (ot)#dwyane wade (39)#dwyane wade (11)#dwyane wade (8)#american airlines arena 19840#50 - 22
73#march 27#houston#w 125 - 119 (ot)#lebron james (33)#chris bosh (12)#lebron james (7)#american airlines arena 19825#51 - 22
74#march 29#cleveland#l 90 - 102 (ot)#lebron james (27)#lebron james (10)#lebron james (12)#quicken loans arena 20562#51 - 23
