season#player#school#position#class
2003 - 04#alana beard#duke#guard#senior
2004 - 05#seimone augustus#lsu#guard#junior
2005 - 06#seimone augustus (2)#lsu#guard#senior
2006 - 07#candace parker#tennessee#center#junior
2007 - 08#candace parker (2)#tennessee#center#senior
2008 - 09#maya moore#connecticut#forward#sophomore
2009 - 10#tina charles#connecticut#center#senior
2010 - 11#maya moore (2)#connecticut#forward#senior
2011 - 12#brittney griner#baylor#center#junior
2012 - 13#brittney griner (2)#baylor#center#senior
