no in series#no in season#title#directed by#written by#original air date
111#1#legacy (part 1)#terrence o'hara#ed zuckerman & paul levine#october 3 , 2000
112#2#legacy (part 2)#terrence o'hara#ed zuckerman & paul levine#october 10 , 2000
113#3#florida straits#alan j levi#dana coen#october 17 , 2000
114#4#flight risk#bradford may#jonathan robert kaplan#october 24 , 2000
115#5#jag tv#scott brazil#patrick labyorteaux#october 31 , 2000
116#6#the princess and the petty officer#alan j levi#mark saraceni#november 14 , 2000
117#7#a separate peace (part 1)#jeannot szwarc#stephen zito#november 21 , 2000
118#8#a separate peace (part 2)#terrence o'hara#stephen zito#november 28 , 2000
119#9#family secrets#bradford may#paul levine#december 12 , 2000
120#10#touch and go#james whitmore , jr#dana coen#january 9 , 2001
121#11#baby , it 's cold outside#hugo cortina#stephen zito#january 16 , 2001
122#12#collision course#greg beeman#jonathan robert kaplan#january 30 , 2001
123#13#miracles#mark horowitz#ed zuckerman#february 6 , 2001
124#14#killer instinct#jerry london#mark saraceni#february 13 , 2001
125#15#iron coffin#scott brazil#paul levine#february 20 , 2001
126#16#retreat , hell#jeannot szwarc#stephen zito#february 27 , 2001
127#17#valor#terrence o'hara#douglas stark#march 13 , 2001
128#18#liberty#jeannot szwarc#larry moskowitz#march 27 , 2001
129#19#salvation#bradford may#ed zuckerman#april 10 , 2001
130#20#to walk on wings#michael schultz#paul levine#april 24 , 2001
131#21#past tense#bradford may#dana coen#may 1 , 2001
132#22#lifeline#david james elliott#larry moskowitz#may 8 , 2001
133#23#mutiny#mark horowitz#nelson costello & ed zuckerman#may 15 , 2001
