country#skip#ends won#ends lost#blank ends#stolen ends#shot %
canada#kevin martin#49#37#10#14#87
scotland#david murdoch#46#38#20#10#85
china#wang fengchun#43#43#18#9#81
norway#thomas ulsrud#52#47#10#11#84
france#thomas dufour#42#35#18#11#78
australia#hugh millikin#42#45#20#8#78
united states#craig brown#40#44#13#6#81
germany#andy kapp#47#43#17#14#80
denmark#johnny frederiksen#45#50#6#11#78
sweden#anders kraupp#38#49#17#4#79
switzerland#claudio pescia#42#49#15#7#78
czech republic#jiří snítil#43#48#10#7#75
