name#years#seasons#lost#pct
jh brown#1908 - 1909#1#3#000
fe schofield#1909 - 1910#1#1#000
no coach#1910 - 1911#1#1#500
james g driver#1911 - 1913#2#7#417
john blackburn#1913 - 1914#1#4#550
lw hill#1914 - 1915#1#7#286
charles c farrell#1915 - 1916#1#6#400
dixon foster#1916 - 1920#4#31#456
sol metzger#1920 - 1921#1#11#389
lana a sims#1921 - 1922#1#12#368
jack crawford#1922 - 1924#2#22#436
branch bocock#1924 - 1927#3#16#673
a burnet stoney#1927 - 1928#1#12#400
aw norman#1928 - 1932 1933 - 1935#6#57#500
billy laval#1932 - 1933#1#2#895
ted petoskey#1935 - 1940#5#67#354
frank johnson#1940 - 1943 1946 - 1958#14.5#175#499
rex enright#1943#1#6#647
lt henry findley#1943 - 1944#1#2#867
johnny mcmillan#1944 - 1945#1#3#864
dick anderson#1945 - 1946#0.5#8#333
walt hambrick#1958 - 1959#1#20#167
bob stevens#1959 - 1962#3#45#430
chuck noe#1962 - 1963#1.5#21#417
dwane morrison#1964#0.5#8#333
frank mcguire#1964 - 1980#16#142#666
bill foster#1980 - 1986#6#79#538
george felton#1986 - 1991#5#62#584
steve newton#1991 - 1993#2#35#364
eddie fogler#1993 - 2001#8#117#513
dave odom#2001 - 2008#7#104#552
darrin horn#2008 - 2012#4#63#488
frank martin#2012 - present#1#0#000
all - time#all - time#103#1128#533
