club#played#drawn#lost#points for#points against#tries for#tries against#try bonus#losing bonus#points
club#played#drawn#lost#points for#points against#tries for#tries against#try bonus#losing bonus#points
birchgrove rfc#20#0#3#538#257#82#29#13#2#83
neath athletic rfc#20#0#3#616#194#89#24#12#2#82
trebanos rfc#20#0#3#701#223#99#27#13#0#81
gowerton rfc#20#0#9#439#389#55#52#5#5#54
llandybie rfc#20#0#9#338#374#38#55#4#3#51
alltwen rfc#20#1#10#445#382#50#42#5#4#47
crynant rfc#20#0#12#315#454#43#66#4#3#39
glais rfc#20#1#13#233#444#33#64#0#1#27
tycroes rfc#20#0#15#250#617#32#88#3#3#26
cwmtwrch rfc#20#2#14#179#466#25#66#1#1#22
cwmgors rfc#20#0#17#206#460#31#64#3#6#21
penlan rfc#0#0#0#0#0#0#0#0#0#0
