team#cf appearances#cf wins#cup wins#last cf
detroit red wings#10#6#4#2009
chicago blackhawks#10#3#2#2013
edmonton oilers#9#7#5#2006
philadelphia flyers#9#4#2#2010
colorado avalanche#8#2#2#2002
new jersey devils#7#5#3#2012
boston bruins#7#4#1#2013
pittsburgh penguins#7#4#3#2013
dallas stars#6#3#1#2008
montreal canadiens#6#3#2#2010
new york islanders#4#3#2#1993
buffalo sabres#4#1#0#2007
new york rangers#4#1#1#2012
toronto maple leafs#4#0#0#2002
calgary flames#3#3#1#2004
vancouver canucks#3#3#0#2011
anaheim ducks#3#2#1#2007
carolina hurricanes#3#2#1#2009
los angeles kings#3#2#1#2013
san jose sharks#3#0#0#2011
ottawa senators#2#1#0#2007
tampa bay lightning#2#1#1#2011
washington capitals#2#1#0#1998
st louis blues#2#0#0#2001
florida panthers#1#1#0#1996
minnesota wild#1#0#0#2003
phoenix coyotes#1#0#0#2012
