series#season#title#director#writer (s)#airdate
564#1#the river - part 1#herb wallerstein#jack miller#september 11 , 1972
565#2#the river - part 2#herb wallerstein#jack miller#september 18 , 1972
566#3#bohannan#alf kjellin#william kelley#september 25 , 1972
567#4#the judgement#philip leacock#shimon wincelberg#october 2 , 1972
568#5#the drummer#bernard mceveety#richard fielder#october 9 , 1972
569#6#sarah#gunnar hellström#calvin clements , sr#october 16 , 1972
570#7#the fugitives#irving j moore#charles joseph#october 23 , 1972
571#8#eleven dollars#irving j moore#paul savage#october 30 , 1972
572#9#milligan#bernard mceveety#ron bishop#november 6 , 1972
573#10#tatum#gunnar hellström#jim byrnes#november 13 , 1972
574#11#the sodbusters#robert butler#ron bishop#november 20 , 1972
575#12#the brothers#gunnar hellström#clavin clements#november 27 , 1972
576#13#hostage!#gunnar hellström#paul f edwards#december 11 , 1972
577#14#jubilee#herb wallerstein#jack freeman#december 18 , 1972
578#15#arizona midnight#irving j moore#dudley bromley#january 1 , 1973
579#16#homecoming#gunnar hellström#calvin clements , sr#january 8 , 1973
580#17#shadler#arnold laven#jim byrnes#january 15 , 1973
581#18#patricia#alf kjellin#calvin clements , sr#january 22 , 1973
582#19#quiet day in dodge#alf kjellin#jack miller#january 29 , 1973
583#20#whelan 's men#paul f edwards#ron bishop#february 5 , 1973
584#21#kimbro#gunnar hellström#jim byrnes#february 12 , 1973
585#22#jesse#bernard mceveety#jim byrnes#february 19 , 1973
586#23#talbot#vincent mceveety#jim byrnes#february 26 , 1973
