goal#date#venue#score#result#competition
1#21 august 2007#ambedkar stadium , new delhi , india#3 - 1#4 - 1#2007 nehru cup
2#25 august 2007#ambedkar stadium , new delhi , india#1 - 0#5 - 1#2007 nehru cup
3#8 october 2007#abbasiyyin stadium , damascus , syria#1 - 0#3 - 0#2010 fifa world cup qualification
4#8 october 2007#abbasiyyin stadium , damascus , syria#3 - 0#3 - 0#2010 fifa world cup qualification
5#9 november 2007#bung karno stadium , jakarta , indonesia#2 - 0#4 - 1#2010 fifa world cup qualification
6#13 november 2008#home 's stadium kobe , kobe , japan#1 - 3#1 - 3#international friendly
7#29 december 2008#bahrain national stadium , manama , bahrain#2 - 1#2 - 2#international friendly
8#5 june 2009#abbasiyyin stadium , damascus , syria#2 - 0#6 - 0#friendly / non fifa 'a' international match
9#5 june 2009#abbasiyyin stadium , damascus , syria#3 - 0#6 - 0#friendly / non fifa 'a' international match
10#27 june 2009#saputo stadium , montreal , canada#1 - 0#2 - 1#international friendly
11#20 august 2009#ambedkar stadium , new delhi , india#1 - 0#2 - 0#2009 nehru cup
12#24 august 2009#ambedkar stadium , new delhi , india#1 - 0#4 - 0#2009 nehru cup
13#27 august 2009#ambedkar stadium , new delhi , india#1 - 0#1 - 0#2009 nehru cup
14#3 march 2010#abbasiyyin stadium , damascus , syria#1 - 0#4 - 0#2011 afc asian cup qualification
15#24 september 2010#king abdullah stadium , amman , jordan#1 - 1#1 - 1#2010 waff championship
16#14 november 2010#bahrain national stadium , manama , bahrain#1 - 0#2 - 0#international friendly
17#17 january 2011#qatar sc stadium , doha , qatar#1 - 0#1 - 2#2011 afc asian cup
