outcome#date#tournament#surface#partnering#opponents in the final#score
runner - up#november 20 , 2000#brighton , england#hard (i)#paul goldstein#michael hill jeff tarango#3 - 6 , 5 - 7
winner#january 8 , 2001#auckland , new zealand#hard (o)#marius barnard#david adams martín garcía#7 - 6 (12 - 10) , 6 - 4
runner - up#april 30 , 2001#houston , united states#clay (o)#kevin kim#mahesh bhupathi leander paes#6 - 7 (4 - 7) , 2 - 6
runner - up#september 10 , 2001#tashkent , uzbekistan#hard (o)#marius barnard#julien boutter dominik hrbatý#4 - 6 , 6 - 3 , 11 - 13
winner#july 5 , 2004#newport , united states#grass (o)#jordan kerr#gregory carraz nicolas mahut#6 - 3 , 6 - 7 (5 - 7) , 6 - 3
winner#july 19 , 2004#indianapolis , united states#hard (o)#jordan kerr#wayne black kevin ullyett#6 - 7 (7 - 9) , 7 - 6 (7 - 3) , 6 - 3
runner - up#january 31 , 2005#delray beach , united states#hard (o)#jordan kerr#simon aspelin todd perry#3 - 6 , 3 - 6
winner#july 4 , 2005#newport , united states#grass (o)#jordan kerr#graydon oliver travis parrott#7 - 6 (7 - 5) , 7 - 6 (7 - 5)
runner - up#february 13 , 2006#san jose , united states#hard (i)#paul goldstein#jonas björkman john mcenroe#6 - 7 (2 - 7) , 6 - 4 ,
winner#may 22 , 2006#pörtschach , austria#clay (o)#paul hanley#oliver marach cyril suk#6 - 3 , 4 - 6 ,
runner - up#july 17 , 2006#indianapolis , united states#hard (o)#paul goldstein#bobby reynolds andy roddick#4 - 6 , 4 - 6
runner - up#october 2 , 2006#tokyo , japan#hard (o)#paul goldstein#ashley fisher tripp phillips#2 - 6 , 5 - 7
winner#july 9 , 2007#newport , united states#grass (o)#jordan kerr#nathan healey igor kunitsyn#6 - 3 , 7 - 5
