city#january (avg high degree)#january (avg low degree)#july (avg high degree)#july (avg low degree)
winnipeg , mb#10.6#6.5#78.4#56.3
saskatoon , sk#13.8#5.3#77.5#52.9
regina , sk#15.3#4.2#78.2#53.4
quebec city , qc#19.4#3.0#76.5#57.2
edmonton , ab#20.7#0.1#73.0#49.1
ottawa , on#21.6#6.1#79.9#60.3
calgary , ab#30.4#8.2#73.8#49.6
montreal , qc#22.5#6.8#79.3#61.0
halifax , ns#31.8#17.2#73.6#59.2
st john 's , nl#30.6#17.2#69.3#51.6
toronto , on#30.7#19.8#79.9#64.4
windsor , on#31.5#18.9#82.6#64.2
vancouver , bc#44.2#34.3#71.8#56.7
kamloops , bc#32.7#21.4#84.0#57.6
yellowknife , nt#6.9#21.1#70.3#54.7
iqaluit , nu#9.0#23.6#54.1#39.4
moncton , nb#25.3#6.8#76.5#55.2
charlottetown , pei#25.9#10.2#73.9#57.4
whitehorse , yt#12.2#2.6#69.1#46.4
