round#pick#overall#name#position#college
1#6#6#spec sanders#hb#texas
3#6#21#rufus deal#rb#auburn
5#6#36#joe zeno#g#holy cross
6#6#46#harley mccollum#ot#tulane
7#6#56#bob fitch#e#minnesota
8#6#66#george peters#rb#oregon state
9#6#76#frank swiger#rb#duke
10#6#86#john goodyear#rb#marquette
11#6#96#al demao#c#duquesne
12#6#106#phil ahwesh#rb#duquesne
13#6#116#john kovatch#e#notre dame
14#6#126#bill decorrevont#rb#northwestern
15#6#136#marvin whited#g#oklahoma
16#6#146#dee chipman#rb#brigham young
17#6#156#george watts#ot#appalachian state
18#6#166#gene stewart#rb#willamette
19#6#176#charlie timmons#fb#clemson
20#6#186#tiny croft#ot#ripon
21#1#191#steve juzwik#hb#notre dame
22#1#196#al couppee#g#iowa
