position#team#played#drawn#lost#goals for#goals against#goal difference#points 1
1#macclesfield town#42#10#6#80#47#+ 33#88
2#bangor city#42#12#5#74#35#+ 39#87
3#caernarfon town#42#16#6#67#40#+ 37#76
4#marine#42#10#11#70#43#+ 27#73
5#south liverpool#42#10#11#58#40#+ 18#73
6#morecambe#42#12#10#66#49#+ 17#72
7#matlock town#42#10#12#81#67#+ 14#70
8#southport#42#11#12#67#49#+ 18#68
9#chorley#42#12#14#58#59#1#60
10#mossley#42#12#15#57#52#+ 5#57
11#hyde united#42#10#17#81#70#+ 11#55
12#burton albion#42#6#20#56#68#12#54
13#buxton#42#14#15#71#68#+ 3#53
14#witton albion#42#8#19#68#79#11#53
15#barrow#42#7#20#42#57#15#52
16#goole town#42#12#17#58#62#4#51
17#oswestry town#42#8#20#55#83#28#50
18#rhyl#42#15#17#56#74#18#45
19#worksop town#42#13#20#56#74#18#40
20#gainsborough trinity#42#10#23#53#77#24#37
21#workington#42#14#23#38#70#32#28 2
22#horwich rmi#42#12#27#36#85#49#20 2
