place#player#country#score#to par#money
t1#steve elkington#australia#68 + 67 + 68 + 64 = 267#- 17#playoff
t1#colin montgomerie#scotland#68 + 67 + 67 + 65 = 267#- 17#playoff
t3#ernie els#south africa#66 + 65 + 66 + 72 = 269#- 15#116000
t3#jeff maggert#united states#66 + 69 + 65 + 69 = 269#- 15#116000
5#brad faxon#united states#70 + 67 + 71 + 63 = 271#- 13#80000
t6#bob estes#united states#69 + 68 + 68 + 68 = 273#- 11#68500
t6#mark o'meara#united states#64 + 67 + 69 + 73 = 273#- 11#68500
t8#jay haas#united states#69 + 71 + 64 + 70 = 274#- 10#50000
t8#justin leonard#united states#68 + 66 + 70 + 70 = 274#- 10#50000
t8#steve lowery#united states#69 + 68 + 68 + 69 = 274#- 10#50000
t8#jeff sluman#united states#69 + 67 + 68 + 70 = 274#- 10#50000
t8#craig stadler#united states#71 + 66 + 66 + 71 = 274#- 10#50000
