state#date#yes vote#no vote#vote outcome
west :#west :#west :#west :#west :
alaska#1998#68% (152965)#32% (71631)#yes
hawaii#1998#71% (285384)#29% (117827)#yes
nevada#2002#67% (337183)#33% (164555)#yes
montana#2004#67% (295070)#33% (148263)#yes
oregon#2004#57% (1028546)#43% (787556)#yes
utah#2004#66% (593297)#34% (307488)#yes
arizona#2006#48% (574332)#52% (607769)#no
colorado#2006#56% (865126)#44% (674030)#yes
idaho#2006#63% (282301)#37% (163408)#yes
arizona#2008#56% (1258355)#44% (980753)#yes
california#2008#52% (7001084)#48% (6401482)#yes1
midwest :#midwest :#midwest :#midwest :#midwest :
nebraska#2000#70% (450073)#30% (189555)#yes
missouri#2004#71% (1055771)#29% (439529)#yes
michigan#2004#59% (2698077)#41% (1904319)#yes
north dakota#2004#73% (223572)#27% (81716)#yes
ohio#2004#62% (3329335)#38% (2065462)#yes
oklahoma#2004#76% (1075216)#24% (347303)#yes
kansas#2005#70% (414106)#30% (178018)#yes
south dakota#2006#52% (172242)#48% (160173)#yes
wisconsin#2006#59% (1260554)#41% (861554)#yes
minnesota#2012#47% (1399938)#53% (1550844)#no
south :#south :#south :#south :#south :
louisiana#2004#78% (618928)#22% (177103)#yes
arkansas#2004#75% (753770)#25% (251914)#yes
georgia#2004#76% (2454912)#24% (768703)#yes
kentucky#2004#75% (1222125)#25% (417097)#yes
mississippi#2004#86% (957104)#14% (155648)#yes
texas#2005#76% (1718513)#24% (536052)#yes
alabama#2006#81% (734746)#19% (170399)#yes
south carolina#2006#78% (825766)#22% (232978)#yes
tennessee#2006#81% (1419434)#19% (327536)#yes
virginia#2006#57% (1328134)#43% (998483)#yes
florida#2008#62% (4890883)#38% (3008026)#yes
north carolina#2012#61% (1317976)#39% (840802)#yes
