position#club#played#won#drawn#lost#pts for#pts agst#bonus points#points
1#celtic crusaders#20#17#0#3#826#311#3#54
2#featherstone rovers#20#17#0#3#775#302#2#53
3#barrow raiders#20#15#0#5#683#371#4#49
4#oldham roughyeds#19#14#0#5#585#340#5#47
5#workington town#20#12#0#8#595#439#5#41
6#york city knights#21#9#0#12#432#448#6#33
7#london skolars#21#8#1#12#422#582#3#29
8#hunslet hawks#19#7#0#12#331#551#6#27
9#swinton lions#19#9#0#10#533#581#5#26
10#keighley cougars#20#5#1#14#363#661#3#20
11#gateshead thunder#19#5#0#14#346#731#3#18
