position#name#stationed in#appointed#nominated by#position prior to appointment
justice#jean el côté#edmonton#1987#mulroney#lawyer at reynolds , mirth & cote
justice#carole m conrad#calgary#1992#mulroney#court of queen 's bench of alberta
justice#ellen i picard#edmonton#1995#chretien#court of queen 's bench of alberta
justice#constance d hunt ( supernumerary )#calgary#1995#chretien#court of queen 's bench of alberta
justice#ronald l berger#edmonton#1996#chretien#court of queen 's bench of alberta
justice#peter t costigan#edmonton#1999#chretien#court of queen 's bench of alberta
justice#marina s paperny#calgary#2001#chretien#court of queen 's bench of alberta
justice#keith g ritter ( supernumerary )#edmonton#2002#chretien#court of queen 's bench of alberta
justice#clifton d o'brien#calgary#2005#martin#lawyer at bennett jones llp
justice#peter wl martin#calgary#2005#martin#court of queen 's bench of alberta
justice#frans f slatter#edmonton#2006#harper#court of queen 's bench of alberta
justice#jack watson#edmonton#2006#harper#court of queen 's bench of alberta
justice#patricia a rowbotham#calgary#2007#harper#court of queen 's bench of alberta
justice#j d bruce mcdonald#calgary#2006#harper#court of queen 's bench of alberta
justice#myra b bielby#edmonton#2010#harper#court of queen 's bench of alberta
justice#brian k o'ferrall#calgary#2011#harper#provincial court of alberta
