team#location#venue#capacity#position in 1999
bate#borisov#city stadium , borisov#5500#1
slavia#mozyr#yunost , mozyr#5500#2
gomel#gomel#central , gomel#11800#3
dnepr - transmash#mogilev#spartak , mogilev#11200#4
shakhtyor#soligorsk#stroitel#5000#5
dinamo minsk#minsk#dinamo , minsk#41040#6
dinamo brest#brest#dinamo , brest#10080#7
belshina#bobruisk#spartak , bobruisk#3550#8
neman - belcard#grodno#neman#6300#9
torpedo - maz#minsk#torpedo , minsk#5200#10
lokomotiv - 96#vitebsk#central , vitebsk#8300#11
naftan - devon#novopolotsk#atlant#6500#12
lida#lida#city stadium , lida#4000#13
torpedo - kadino#mogilev#torpedo , mogilev#3500#14
kommunalnik#slonim#yunost , slonim#3000#first league , 1
vedrich - 97#rechytsa#central , rechytsa#3550#first league , 2
