rnd#circuit#location#date#pole position#fastest lap#most laps led#winning driver#winning team#supporting
1#sebring raceway#sebring , florida#march 17#zach veach#zach veach#zach veach#zach veach#andretti autosport#alms
2#sebring raceway#sebring , florida#march 18#zach veach#luke ellery#petri suvanto luke ellery#luke ellery#jdc motorsports#alms
3#streets of st petersburg#st petersburg , florida#march 26#spencer pigot#petri suvanto#spencer pigot#spencer pigot#andretti autosport#indycar series
4#streets of st petersburg#st petersburg , florida#march 27#petri suvanto#petri suvanto#petri suvanto#petri suvanto#cape motorsports#indycar series
5#lucas oil raceway at indianapolis#clermont , indiana#may 28#petri suvanto#petri suvanto#petri suvanto#petri suvanto#cape motorsports#usac midgets
6#milwaukee mile#west allis , wisconsin#june 19#zach veach#luke ellery#wayne boyd#wayne boyd#belardi auto racing#indycar series
7#mid - ohio sports car course#lexington , ohio#august 6#petri suvanto#petri suvanto#petri suvanto#petri suvanto#cape motorsports#indycar series
8#mid - ohio sports car course#lexington , ohio#august 7#petri suvanto#petri suvanto#petri suvanto#petri suvanto#cape motorsports#indycar series
9#road america#elkhart lake , wisconsin#august 19#spencer pigot#spencer pigot#wayne boyd spencer pigot#spencer pigot#andretti autosport#alms
10#road america#elkhart lake , wisconsin#august 20#spencer pigot#spencer pigot#wayne boyd spencer pigot#petri suvanto#cape motorsports#alms
11#streets of baltimore#baltimore , maryland#september 3#petri suvanto#spencer pigot#wayne boyd#wayne boyd#belardi auto racing#indycar series
