res#record#opponent#method#event#round#time#location
loss#14 - 7#urijah faber#submission (rear - naked choke)#the ultimate fighter 17 finale#4#3:16#las vegas , nevada , united states
win#14 - 6#john albert#submission (rear - naked choke)#ufc on fox : henderson vs diaz#1#4:59#seattle , washington , united states
loss#13 - 6#eddie wineland#ko (punches)#ufc on fx : johnson vs mccall#2#4:10#sunrise , florida , united states
loss#13 - 5#renan barão#decision (unanimous)#ufc 143#3#5:00#las vegas , nevada , united states
win#13 - 4#jeff curran#decision (unanimous)#ufc 137#3#5:00#las vegas , nevada , united states
win#12 - 4#ken stone#ko (punches)#the ultimate fighter 13 finale#1#4:01#las vegas , nevada , united states
loss#11 - 4#dominick cruz#decision (unanimous)#wec 53#5#5:00#glendale , arizona , united states
win#11 - 3#brad pickett#decision (unanimous)#wec 50#3#5:00#las vegas , nevada , united states
win#10 - 3#antonio banuelos#decision (unanimous)#wec 48#3#5:00#sacramento , california , united states
win#9 - 3#chad george#submission (standing guillotine choke)#wec 47#1#0:31#columbus , ohio , united states
win#8 - 3#takeya mizugaki#decision (unanimous)#wec 45#3#5:00#las vegas , nevada , united states
win#7 - 3#noah thomas#tko (punches and elbows)#wec 43#1#3:13#san antonio , texas , united states
loss#6 - 3#antonio banuelos#decision (split)#wec 41#3#5:00#sacramento , california , united states
win#6 - 2#frank gomez#submission (guillotine choke)#wec 38#1#1:09#san diego , california , united states
win#5 - 2#kenji osawa#decision (unanimous)#wec 35#3#5:00#las vegas , nevada , united states
loss#4 - 2#damacio page#decision (unanimous)#wec 32#3#5:00#albuquerque , new mexico , united states
win#4 - 1#chris david#decision (unanimous)#shoxcjuly 27 , 2007 card#3#5:00#santa barbara , california , united states
win#3 - 1#tyler toner#decision (unanimous)#rof 29: aftershock#3#5:00#boulder , colorado , united states
loss#2 - 1#joe jesser#submission (armbar)#rof 26: relentless#1#1:08#colorado springs , colorado , united states
win#2 - 0#louie lagunsad#submission (heel hook)#rof 25: overdrive#1#1:43#boulder , colorado , united states
win#1 - 0#mike morris#submission (armbar)#alaska fighting championship 24#1#1:31#juneau , alaska , united states
