conference#division#team#city#home stadium
american#east#buffalo bills#orchard park , new york#ralph wilson stadium
american#east#miami dolphins#miami gardens , florida#sun life stadium
american#east#new england patriots#foxborough , massachusetts#gillette stadium
american#east#new york jets#east rutherford , new jersey#metlife stadium
american#north#baltimore ravens#baltimore , maryland#m&t bank stadium
american#north#cincinnati bengals#cincinnati , ohio#paul brown stadium
american#north#cleveland browns#cleveland , ohio#firstenergy stadium
american#north#pittsburgh steelers#pittsburgh , pennsylvania#heinz field
american#south#houston texans#houston , texas#reliant stadium
american#south#indianapolis colts#indianapolis , indiana#lucas oil stadium
american#south#jacksonville jaguars#jacksonville , florida#everbank field
american#south#tennessee titans#nashville , tennessee#lp field
american#west#denver broncos#denver , colorado#sports authority field at mile high
american#west#kansas city chiefs#kansas city , missouri#arrowhead stadium
american#west#oakland raiders#oakland , california#oco coliseum
american#west#san diego chargers#san diego , california#qualcomm stadium
national#east#dallas cowboys#arlington , texas#at&t stadium
national#east#new york giants#east rutherford , new jersey#metlife stadium
national#east#philadelphia eagles#philadelphia , pennsylvania#lincoln financial field
national#east#washington redskins#landover , maryland#fedexfield
national#north#chicago bears#chicago , illinois#soldier field
national#north#detroit lions#detroit , michigan#ford field
national#north#green bay packers#green bay , wisconsin#lambeau field
national#north#minnesota vikings#minneapolis , minnesota#hubert h humphrey metrodome
national#south#atlanta falcons#atlanta , georgia#georgia dome
national#south#carolina panthers#charlotte , north carolina#bank of america stadium
national#south#new orleans saints#new orleans , louisiana#mercedes - benz superdome
national#south#tampa bay buccaneers#tampa , florida#raymond james stadium
national#west#arizona cardinals#glendale , arizona#university of phoenix stadium
national#west#st louis rams#st louis , missouri#edward jones dome
national#west#san francisco 49ers#san francisco , california#candlestick park
national#west#seattle seahawks#seattle , washington#centurylink field
