name#pos#height#weight#date of birth#club
frano vićan#gk#m (ft 4in)#-#1976 - 01 - 24#sportiva nervi
damir burić#cb#m (ft 9in)#-#1980 - 12 - 02#primorje eb
tihomil vranješ#d#m (ft 2in)#-#1977 - 11 - 10#vk jug dubrovnik
dubravko šimenc#cb#m (ft 7in)#-#1966 - 11 - 02#bissolati cremona
goran volarević#gk#m (ft 2in)#-#1977 - 04 - 02#vk jug dubrovnik
ratko štritof#cb#m (ft 5in)#-#1972 - 01 - 14#circolo nautico posillipo
mile smodlaka#cf#m (ft 6in)#-#1976 - 01 - 01#vk jug dubrovnik
danijel premuš#cf#m (ft 1in)#-#1981 - 04 - 15#primorje eb
nikola franković#d#m (ft 4in)#-#1982 - 11 - 09#primorje eb
samir barač#d#m (ft 2in)#-#1973 - 11 - 02#leonessa brescia
igor hinić#cf#m (ft 8in)#-#1975 - 12 - 04#leonessa brescia
elvis fatović#d#m (ft 1in)#-#1971 - 05 - 08#vk jug dubrovnik
vjekoslav kobešćak#d#m (ft 2in)#-#1974 - 01 - 20#havk mladost
