ship#year#dates#line#from#distance#days , hours , minutes#speed
columbia#1830#1 - 17 april#black ball line#portsmouth#nautical miles (km)#15 d , 23 h#-
great western#1838#8 - 23 april#gw#avonmouth#nautical miles (km)#15 d , 12 h , 0 m#-
great western#1838#2 - 17 june#gw#avonmouth#nautical miles (km)#14 d , 16 h , 0 m#-
great western#1839#18 may - 31 may#gw#avonmouth#nautical miles (km)#13 d , 12 h , 0 m#-
columbia#1841#4 - 15 june#cunard#liverpool#nautical miles (km)#10 d , 19 h , 0 m#-
great western#1843#29 april - 11 may#gw#liverpool#nautical miles (km)#12 d , 18 h , 0 m#-
cambria#1845#19 - 29 july#cunard#liverpool#nautical miles (km)#9 d , 20 h , 30 m#-
america#1848#3 - 12 june#cunard#liverpool#nautical miles (km)#9 d , 0 h , 16 m#-
europa#1848#14 - 23 october#cunard#liverpool#nautical miles (km)#8 d , 23 h , 0 m#-
asia#1850#18 may - 27 may#cunard#liverpool#nautical miles (km)#8 d , 14 h , 50 m#-
pacific#1850#11 - 21 september#collins#liverpool#nautical miles (km)#10 d , 4 h , 45 m#-
baltic#1851#6 - 16 august#collins#liverpool#nautical miles (km)#9 d , 19 h , 26 m#-
baltic#1854#28 june - 7 july#collins#liverpool#nautical miles (km)#9 d , 16 h , 52 m#-
persia#1856#19 - 29 april#cunard#liverpool#nautical miles (km)#9 d , 16 h , 16 m#-
scotia#1863#19 - 27 july#cunard#queenstown#nautical miles (km)#8 d , 3 h , 0 m#-
adriatic#1872#17 may - 25 may#w.star#queenstown#nautical miles (km)#7 d , 23 h , 17 m#-
germanic#1875#30 july - 7 august#w.star#queenstown#nautical miles (km)#7 d , 23 h , 7 m#-
city of berlin#1875#17 - 25 september#inman#queenstown#nautical miles (km)#7 d , 18 h , 2 m#-
britannic#1876#27 october - 4 november#w.star#queenstown#nautical miles (km)#7 d , 13 h , 11 m#-
germanic#1877#6 - 13 april#w.star#queenstown#nautical miles (km)#7 d , 11 h , 37 m#-
alaska#1882#9 - 16 april#guion#queenstown#nautical miles (km)#7 d , 6 h , 20 m#-
alaska#1882#14 may - 21 may#guion#queenstown#nautical miles (km)#7 d , 4 h , 12 m#-
alaska#1882#18 - 25 june#guion#queenstown#nautical miles (km)#7 d , 1 h , 58 m#-
