res#record#opponent#method#event#round#location
win#12 - 5#danilo pereira#submission (heel hook)#2009 m - 1 challenge seasonfinal round#1#st petersburg , russia
win#11 - 5#matt thorpe#submission (reverse heel hook)#2009 m - 1 challenge seasonfinal round#1#rostov - on - don , russia
win#10 - 5#jason jones#submission (heel hook)#m - 1 global#2#st petersburg , russia
win#9 - 5#eulogio fernandez#submission (toe hold)#m - 1 global#1#st petersburg , russia
loss#8 - 5#adlan amagov#decision (unanimous)#perm regional mma#2#perm , russia
loss#8 - 4#yuta watanabe#submission (rear naked choke)#m - 1 global#1#st petersburg , russia
win#8 - 3#sergey podyachikh#tko (punches)#legion fight 2#1#krasnodar , russia
loss#7 - 3#nick thompson#submission (rear naked choke)#bodog fight - usa vs russia#1#vancouver , british columbia , canada
loss#7 - 2#josh koscheck#submission (rear naked choke)#ufc ultimate fight night 4#1#las vegas , nevada , united states
loss#7 - 1#thiago alves#ko (punches)#ufc 56#1#las vegas , nevada , united states
win#7 - 0#dennis hallman#tko (corner stoppage)#euphoria - usa vs russia#2#atlantic city , new jersey , united states
win#6 - 0#dave strasser#submission (guillotine choke)#m - 1 mfc - russia vs the world 7#1#st petersburg , russia
win#5 - 0#vladimir yushko#submission (armbar)#m - 1 mfc - russia vs the world 6#1#moscow , russia
win#4 - 0#denis komkin#decision (majority)#m - 1 mfc - russia vs the world 5#1#st petersburg , russia
win#3 - 0#krzysztof kulak#submission (choke)#wafc world championship 2003#1#moscow , russia
win#2 - 0#vitelmo kubis bandeira#ko (punch)#wafc - world championship 2003#1#moscow , russia
win#1 - 0#andrei rudakov#tko#wafc world championship 2003#2#moscow , russia
