date#tournament#winning score#margin of victory#runner (s) - up
oct 6 , 1992#mazda presents the senior players championship#11 (71677069 = 277)#1 stroke#j c snead , lee trevino
apr 25 , 1993#muratec reunion pro - am#- 5 (73 + 72 + 66 = 211)#4 strokes#harold henning
jun 13 , 1993#southwestern bell classic#- 6 (65 + 68 + 71 = 204)#1 stroke#larry mowry , walt zembriski
aug 15 , 1993#franklin quest championship#- 19 (68 + 66 + 63 = 197)#9 strokes#al geiberger
aug 22 , 1993#gte northwest classic#- 16 (65 + 68 + 67 = 200)#4 strokes#dale douglass
oct 10 , 1993#the transamerica#- 13 (68 + 71 + 64 = 203)#1 stroke#simon hobday , lee trevino
jun 12 , 1994#nationwide championship#- 18 (67 + 66 + 65 = 198)#1 stroke#bob murphy
jun 26 , 1994#ford senior players championship#- 17 (66 + 66 + 71 + 68 = 271)#6 strokes#jim albus
aug 21 , 1994#burnet senior classic#- 13 (68 + 66 + 69 = 203)#1 stroke#jim albus
feb 19 , 1995#gte suncoast classic#- 9 (70 + 66 + 68 = 204)#2 strokes#bob charles , jim colbert , j c snead
may 28 , 1995#quicksilver classic#- 10 (72 + 69 + 67 = 206)#1 stroke#isao aoki
jul 7 , 1996#us senior open#- 11 (70 + 67 + 67 + 73 = 277)#2 strokes#hale irwin
aug 11 , 1996#first of america classic#- 10 (68 + 69 + 69 = 206)#1 stroke#bob murphy
jul 27 , 1997#franklin quest championship#- 15 (69 + 64 + 68 = 201)#2 strokes#kermit zarley
