week#date#opponent#location#final score#attendance#record
1#august 6#rough riders#exhibition stadium#l 17 - 14#28041#0 - 1 - 0
2#august 13#tiger - cats#exhibition stadium#l 17 - 7#27190#0 - 2 - 0
3#august 18#alouettes#molson stadium#l 20 - 0#18000#0 - 3 - 0
4#august 29#lions#empire stadium#l 36 - 1#30855#0 - 4 - 0
4#august 31#eskimos#clarke stadium#l 23 - 21#16745#0 - 5 - 0
5#september 5#rough riders#landsdowne park#l 41 - 21#17303#0 - 6 - 0
6#september 10#roughriders#exhibition stadium#l 28 - 9#20497#0 - 7 - 0
7#september 19#tiger - cats#exhibition stadium#l 33 - 0#22854#0 - 8 - 0
8#september 26#blue bombers#exhibition stadium#w 24 - 22#17364#1 - 8 - 0
9#october 3#alouettes#molson stadium#l 25 - 8#17000#1 - 9 - 0
10#october 8#stampeders#exhibition stadium#l 27 - 26#16711#1 - 10 - 0
11#october 16#alouettes#exhibition stadium#w 24 - 21#18693#2 - 10 - 0
12#october 24#rough riders#landsdowne park#w 17 - 15#13487#3 - 10 - 0
