club#played#won#drawn#lost#points for#points against#tries for#tries against#try bonus#losing bonus#points
club#played#won#drawn#lost#points for#points against#tries for#tries against#try bonus#losing bonus#points
tylorstown rfc#22#18#0#4#598#321#76#35#10#2#84
penarth rfc#22#17#2#3#573#222#77#25#9#3#84
st peters rfc#22#16#1#5#497#210#72#19#9#3#78
aberdare rfc#22#13#2#7#518#391#73#49#9#4#69
heol y cyw rfc#22#12#2#8#430#329#49#41#2#4#58
pentyrch rfc#22#12#0#10#416#404#55#56#5#4#57
llanishen rfc#22#11#1#10#322#326#32#41#2#6#54
brecon rfc#22#8#1#13#367#372#44#46#5#6#45
llandaff north rfc#22#7#0#15#325#567#35#77#3#3#34
fairwater rfc#22#6#1#15#253#396#32#50#2#5#33
treherbert rfc#22#5#0#17#290#672#37#86#3#5#28
llandaff rfc#22#2#0#20#229#608#31#88#1#5#14
